"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","894653"
"eastern cape","Pfizer","1306453"
"free state","Johnson & Johnson","476483"
"free state","Pfizer","656688"
"gauteng","Johnson & Johnson","1490178"
"gauteng","Pfizer","3829875"
"kwazulu-natal","Johnson & Johnson","1197913"
"kwazulu-natal","Pfizer","1914832"
"limpopo","Johnson & Johnson","1055717"
"limpopo","Pfizer","1016852"
"mpumalanga","Johnson & Johnson","790730"
"mpumalanga","Pfizer","552835"
"northern cape","Johnson & Johnson","209803"
"northern cape","Pfizer","218770"
"north west","Johnson & Johnson","699328"
"north west","Pfizer","607267"
"western cape","Johnson & Johnson","734369"
"western cape","Pfizer","2091699"
