"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","135249","36338","416942"
"EASTERN CAPE","12-17","Male","109164","24585","429096"
"FREE STATE","12-17","Female","87596","36130","161705"
"FREE STATE","12-17","Male","74107","26444","162847"
"GAUTENG","12-17","Female","203200","79443","649047"
"GAUTENG","12-17","Male","166787","61491","648920"
"KWAZULU-NATAL","12-17","Female","142591","48080","647510"
"KWAZULU-NATAL","12-17","Male","100474","31366","658202"
"LIMPOPO","12-17","Female","127949","37887","352420"
"LIMPOPO","12-17","Male","106869","28201","372427"
"MPUMALANGA","12-17","Female","69819","18619","257710"
"MPUMALANGA","12-17","Male","58741","13658","259479"
"NORTHERN CAPE","12-17","Female","14413","4480","69852"
"NORTHERN CAPE","12-17","Male","11767","3346","69047"
"NORTH WEST","12-17","Female","78696","24096","221385"
"NORTH WEST","12-17","Male","65385","17484","223092"
"WESTERN CAPE","12-17","Female","70342","26528","320269"
"WESTERN CAPE","12-17","Male","59821","22030","322848"
