"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","129970","32084","416942"
"EASTERN CAPE","12-17","Male","104429","21647","429096"
"FREE STATE","12-17","Female","85407","33745","161705"
"FREE STATE","12-17","Male","72062","24551","162847"
"GAUTENG","12-17","Female","200212","75016","649047"
"GAUTENG","12-17","Male","164295","58252","648920"
"KWAZULU-NATAL","12-17","Female","137569","42651","647510"
"KWAZULU-NATAL","12-17","Male","97337","28261","658202"
"LIMPOPO","12-17","Female","123868","35182","352420"
"LIMPOPO","12-17","Male","103396","26465","372427"
"MPUMALANGA","12-17","Female","67610","17207","257710"
"MPUMALANGA","12-17","Male","56969","12681","259479"
"NORTHERN CAPE","12-17","Female","13466","4293","69852"
"NORTHERN CAPE","12-17","Male","11032","3198","69047"
"NORTH WEST","12-17","Female","77396","22322","221385"
"NORTH WEST","12-17","Male","64402","16299","223092"
"WESTERN CAPE","12-17","Female","70253","26144","320269"
"WESTERN CAPE","12-17","Male","59597","21632","322848"
