"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","827210","0","86968","914178"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","448745","0","58588","507333"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1338224","0","145525","1483749"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1093604","0","114486","1208090"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1014192","0","89099","1103291"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","760566","0","73867","834433"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","199073","0","18105","217178"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","671046","0","77795","748841"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","635679","0","83202","718881"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60848","0","24220","85068"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24386","0","12199","36585"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137189","0","65356","202545"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94469","0","40020","134489"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34178","0","17016","51194"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21880","0","7150","29030"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9463","0","4455","13918"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23462","0","8964","32426"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94511","0","61527","156038"
"Pfizer","National","eastern cape","Adults","1299964","1080884","153626","2534474"
"Pfizer","National","eastern cape","12-17 Years","234399","53731","0","288130"
"Pfizer","National","free state","12-17 Years","157469","58296","0","215765"
"Pfizer","National","free state","Adults","652470","567513","95353","1315336"
"Pfizer","National","gauteng","12-17 Years","364507","133268","6","497781"
"Pfizer","National","gauteng","Adults","3809449","3273779","517646","7600874"
"Pfizer","National","kwazulu-natal","Adults","1901531","1565201","241472","3708204"
"Pfizer","National","kwazulu-natal","12-17 Years","234906","70912","4","305822"
"Pfizer","National","limpopo","Adults","1011211","844228","115155","1970594"
"Pfizer","National","limpopo","12-17 Years","227264","61647","0","288911"
"Pfizer","National","mpumalanga","12-17 Years","124579","29888","0","154467"
"Pfizer","National","mpumalanga","Adults","548859","448309","69422","1066590"
"Pfizer","National","northern cape","12-17 Years","24498","7491","0","31989"
"Pfizer","National","northern cape","Adults","217260","185183","23466","425909"
"Pfizer","National","north west","12-17 Years","141798","38621","0","180419"
"Pfizer","National","north west","Adults","603815","518983","81165","1203963"
"Pfizer","National","western cape","12-17 Years","129850","47776","1","177627"
"Pfizer","National","western cape","Adults","2084807","1821727","388671","4295205"
