"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","888058"
"eastern cape","Pfizer","1299964"
"free state","Johnson & Johnson","473131"
"free state","Pfizer","652470"
"gauteng","Johnson & Johnson","1475413"
"gauteng","Pfizer","3809449"
"kwazulu-natal","Johnson & Johnson","1188073"
"kwazulu-natal","Pfizer","1901531"
"limpopo","Johnson & Johnson","1048370"
"limpopo","Pfizer","1011211"
"mpumalanga","Johnson & Johnson","782446"
"mpumalanga","Pfizer","548859"
"northern cape","Johnson & Johnson","208536"
"northern cape","Pfizer","217260"
"north west","Johnson & Johnson","694508"
"north west","Pfizer","603815"
"western cape","Johnson & Johnson","730190"
"western cape","Pfizer","2084807"
