"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","158967","64529","416942"
"EASTERN CAPE","12-17","Male","131410","47059","429096"
"FREE STATE","12-17","Female","92558","45501","161705"
"FREE STATE","12-17","Male","78997","34310","162847"
"GAUTENG","12-17","Female","214220","96208","649047"
"GAUTENG","12-17","Male","176283","74541","648920"
"KWAZULU-NATAL","12-17","Female","174338","81334","647510"
"KWAZULU-NATAL","12-17","Male","122691","51716","658202"
"LIMPOPO","12-17","Female","156473","56087","352420"
"LIMPOPO","12-17","Male","134063","41597","372427"
"MPUMALANGA","12-17","Female","81206","29971","257710"
"MPUMALANGA","12-17","Male","67062","20997","259479"
"NORTHERN CAPE","12-17","Female","20222","8304","69852"
"NORTHERN CAPE","12-17","Male","16178","6144","69047"
"NORTH WEST","12-17","Female","83051","30387","221385"
"NORTH WEST","12-17","Male","69296","22476","223092"
"WESTERN CAPE","12-17","Female","71389","29188","320269"
"WESTERN CAPE","12-17","Male","61324","24560","322848"
