"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","919367"
"eastern cape","Pfizer","1346616"
"free state","Johnson & Johnson","487924"
"free state","Pfizer","678124"
"gauteng","Johnson & Johnson","1552116"
"gauteng","Pfizer","3924305"
"kwazulu-natal","Johnson & Johnson","1248842"
"kwazulu-natal","Pfizer","1993092"
"limpopo","Johnson & Johnson","1082345"
"limpopo","Pfizer","1048497"
"mpumalanga","Johnson & Johnson","832134"
"mpumalanga","Pfizer","577846"
"northern cape","Johnson & Johnson","216338"
"northern cape","Pfizer","227658"
"north west","Johnson & Johnson","714812"
"north west","Pfizer","625407"
"western cape","Johnson & Johnson","752829"
"western cape","Pfizer","2126106"
