"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","156910","61029","416942"
"EASTERN CAPE","12-17","Male","129195","43829","429096"
"FREE STATE","12-17","Female","92719","45261","161705"
"FREE STATE","12-17","Male","78995","34099","162847"
"GAUTENG","12-17","Female","215524","96133","649047"
"GAUTENG","12-17","Male","177216","74414","648920"
"KWAZULU-NATAL","12-17","Female","174293","79251","647510"
"KWAZULU-NATAL","12-17","Male","122630","50537","658202"
"LIMPOPO","12-17","Female","155005","54504","352420"
"LIMPOPO","12-17","Male","133070","40456","372427"
"MPUMALANGA","12-17","Female","80700","28740","257710"
"MPUMALANGA","12-17","Male","66780","20162","259479"
"NORTHERN CAPE","12-17","Female","20119","8047","69852"
"NORTHERN CAPE","12-17","Male","16059","5941","69047"
"NORTH WEST","12-17","Female","83605","30391","221385"
"NORTH WEST","12-17","Male","69746","22400","223092"
"WESTERN CAPE","12-17","Female","70733","28824","320269"
"WESTERN CAPE","12-17","Male","60705","24238","322848"
