"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","917839"
"eastern cape","Pfizer","1341250"
"free state","Johnson & Johnson","487345"
"free state","Pfizer","675626"
"gauteng","Johnson & Johnson","1547228"
"gauteng","Pfizer","3914440"
"kwazulu-natal","Johnson & Johnson","1245737"
"kwazulu-natal","Pfizer","1985850"
"limpopo","Johnson & Johnson","1079951"
"limpopo","Pfizer","1044403"
"mpumalanga","Johnson & Johnson","829764"
"mpumalanga","Pfizer","575201"
"northern cape","Johnson & Johnson","216065"
"northern cape","Pfizer","226955"
"north west","Johnson & Johnson","713847"
"north west","Pfizer","623549"
"western cape","Johnson & Johnson","751170"
"western cape","Pfizer","2122163"
