"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","907817"
"eastern cape","Pfizer","1320969"
"free state","Johnson & Johnson","482699"
"free state","Pfizer","665186"
"gauteng","Johnson & Johnson","1520180"
"gauteng","Pfizer","3871584"
"kwazulu-natal","Johnson & Johnson","1221473"
"kwazulu-natal","Pfizer","1949190"
"limpopo","Johnson & Johnson","1070560"
"limpopo","Pfizer","1029150"
"mpumalanga","Johnson & Johnson","808690"
"mpumalanga","Pfizer","561917"
"northern cape","Johnson & Johnson","212631"
"northern cape","Pfizer","222020"
"north west","Johnson & Johnson","707941"
"north west","Pfizer","614930"
"western cape","Johnson & Johnson","743507"
"western cape","Pfizer","2106706"
