"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","154132","53349","416942"
"EASTERN CAPE","12-17","Male","125764","37500","429096"
"FREE STATE","12-17","Female","93246","43081","161705"
"FREE STATE","12-17","Male","79295","32290","162847"
"GAUTENG","12-17","Female","216367","92941","649047"
"GAUTENG","12-17","Male","177390","71455","648920"
"KWAZULU-NATAL","12-17","Female","169439","69260","647510"
"KWAZULU-NATAL","12-17","Male","118987","44292","658202"
"LIMPOPO","12-17","Female","148941","49492","352420"
"LIMPOPO","12-17","Male","126351","36735","372427"
"MPUMALANGA","12-17","Female","78457","25568","257710"
"MPUMALANGA","12-17","Male","65291","18307","259479"
"NORTHERN CAPE","12-17","Female","18613","6180","69852"
"NORTHERN CAPE","12-17","Male","14910","4603","69047"
"NORTH WEST","12-17","Female","84370","29616","221385"
"NORTH WEST","12-17","Male","70110","21510","223092"
"WESTERN CAPE","12-17","Female","70824","27827","320269"
"WESTERN CAPE","12-17","Male","60441","23236","322848"
