"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","909063"
"eastern cape","Pfizer","1322674"
"free state","Johnson & Johnson","483283"
"free state","Pfizer","666088"
"gauteng","Johnson & Johnson","1523470"
"gauteng","Pfizer","3875839"
"kwazulu-natal","Johnson & Johnson","1224436"
"kwazulu-natal","Pfizer","1953247"
"limpopo","Johnson & Johnson","1072046"
"limpopo","Pfizer","1030715"
"mpumalanga","Johnson & Johnson","811137"
"mpumalanga","Pfizer","563109"
"northern cape","Johnson & Johnson","212884"
"northern cape","Pfizer","222428"
"north west","Johnson & Johnson","708750"
"north west","Pfizer","615763"
"western cape","Johnson & Johnson","744328"
"western cape","Pfizer","2108099"
