"province","age_group","sex","total_number_individuals_vaccinated","population"
"EASTERN CAPE","18-34","Female","382431","839479"
"EASTERN CAPE","18-34","Male","285204","854468"
"EASTERN CAPE","35-49","Female","365355","586430"
"EASTERN CAPE","35-49","Male","246892","522727"
"EASTERN CAPE","50-59","Female","234287","320585"
"EASTERN CAPE","50-59","Male","146838","196960"
"EASTERN CAPE","60+","Female","356250","517296"
"EASTERN CAPE","60+","Male","214079","261598"
"EASTERN CAPE","Unidentified","Female","309",""
"EASTERN CAPE","Unidentified","Male","92",""
"FREE STATE","18-34","Female","226502","410210"
"FREE STATE","18-34","Male","172344","419145"
"FREE STATE","35-49","Female","191241","283918"
"FREE STATE","35-49","Male","157263","266941"
"FREE STATE","50-59","Female","103931","140470"
"FREE STATE","50-59","Male","80687","105617"
"FREE STATE","60+","Female","133533","178195"
"FREE STATE","60+","Male","83720","110025"
"FREE STATE","Unidentified","Female","93",""
"FREE STATE","Unidentified","Male","57",""
"GAUTENG","18-34","Female","975398","2584852"
"GAUTENG","18-34","Male","828902","2611302"
"GAUTENG","35-49","Female","982575","1659380"
"GAUTENG","35-49","Male","916896","1782603"
"GAUTENG","50-59","Female","433953","675158"
"GAUTENG","50-59","Male","413165","655342"
"GAUTENG","60+","Female","480963","745260"
"GAUTENG","60+","Male","366958","597429"
"GAUTENG","Unidentified","Female","304",""
"GAUTENG","Unidentified","Male","195",""
"KWAZULU-NATAL","18-34","Female","614078","1707989"
"KWAZULU-NATAL","18-34","Male","422623","1725158"
"KWAZULU-NATAL","35-49","Female","561515","1071255"
"KWAZULU-NATAL","35-49","Male","403008","951364"
"KWAZULU-NATAL","50-59","Female","297013","492136"
"KWAZULU-NATAL","50-59","Male","198988","316845"
"KWAZULU-NATAL","60+","Female","434009","624115"
"KWAZULU-NATAL","60+","Male","245933","330933"
"KWAZULU-NATAL","Unidentified","Female","375",""
"KWAZULU-NATAL","Unidentified","Male","141",""
"LIMPOPO","18-34","Female","421085","818804"
"LIMPOPO","18-34","Male","282978","833104"
"LIMPOPO","35-49","Female","369773","573264"
"LIMPOPO","35-49","Male","243714","493423"
"LIMPOPO","50-59","Female","197287","265501"
"LIMPOPO","50-59","Male","132144","165831"
"LIMPOPO","60+","Female","288855","372555"
"LIMPOPO","60+","Male","166212","173319"
"LIMPOPO","Unidentified","Female","619",""
"LIMPOPO","Unidentified","Male","94",""
"MPUMALANGA","18-34","Female","265547","681710"
"MPUMALANGA","18-34","Male","222762","729028"
"MPUMALANGA","35-49","Female","233648","451254"
"MPUMALANGA","35-49","Male","204118","457785"
"MPUMALANGA","50-59","Female","115169","197794"
"MPUMALANGA","50-59","Male","93187","151183"
"MPUMALANGA","60+","Female","139301","224305"
"MPUMALANGA","60+","Male","100295","146461"
"MPUMALANGA","Unidentified","Female","157",""
"MPUMALANGA","Unidentified","Male","62",""
"NORTHERN CAPE","18-34","Female","76178","174695"
"NORTHERN CAPE","18-34","Male","72251","182300"
"NORTHERN CAPE","35-49","Female","67937","118328"
"NORTHERN CAPE","35-49","Male","71538","131923"
"NORTHERN CAPE","50-59","Female","36553","57823"
"NORTHERN CAPE","50-59","Male","33808","49198"
"NORTHERN CAPE","60+","Female","44202","80820"
"NORTHERN CAPE","60+","Male","32815","52458"
"NORTHERN CAPE","Unidentified","Female","22",""
"NORTHERN CAPE","Unidentified","Male","8",""
"NORTH WEST","18-34","Female","240107","547199"
"NORTH WEST","18-34","Male","198123","611287"
"NORTH WEST","35-49","Female","213045","386831"
"NORTH WEST","35-49","Male","213008","437698"
"NORTH WEST","50-59","Female","108024","173790"
"NORTH WEST","50-59","Male","107105","168889"
"NORTH WEST","60+","Female","139740","213393"
"NORTH WEST","60+","Male","105117","154160"
"NORTH WEST","Unidentified","Female","128",""
"NORTH WEST","Unidentified","Male","116",""
"WESTERN CAPE","18-34","Female","520259","1010156"
"WESTERN CAPE","18-34","Male","450971","1047625"
"WESTERN CAPE","35-49","Female","471809","744325"
"WESTERN CAPE","35-49","Male","414390","767488"
"WESTERN CAPE","50-59","Female","241834","368383"
"WESTERN CAPE","50-59","Male","208953","315766"
"WESTERN CAPE","60+","Female","312297","422288"
"WESTERN CAPE","60+","Male","231719","300872"
"WESTERN CAPE","Unidentified","Female","117",""
"WESTERN CAPE","Unidentified","Male","78",""
