"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","131010","32711","416942"
"EASTERN CAPE","12-17","Male","105216","22115","429096"
"FREE STATE","12-17","Female","85903","34273","161705"
"FREE STATE","12-17","Male","72488","24984","162847"
"GAUTENG","12-17","Female","200693","75821","649047"
"GAUTENG","12-17","Male","164680","58831","648920"
"KWAZULU-NATAL","12-17","Female","138801","43740","647510"
"KWAZULU-NATAL","12-17","Male","98125","28756","658202"
"LIMPOPO","12-17","Female","124519","35703","352420"
"LIMPOPO","12-17","Male","103939","26815","372427"
"MPUMALANGA","12-17","Female","67982","17396","257710"
"MPUMALANGA","12-17","Male","57325","12820","259479"
"NORTHERN CAPE","12-17","Female","13638","4329","69852"
"NORTHERN CAPE","12-17","Male","11134","3220","69047"
"NORTH WEST","12-17","Female","77681","22840","221385"
"NORTH WEST","12-17","Male","64663","16622","223092"
"WESTERN CAPE","12-17","Female","70256","26187","320269"
"WESTERN CAPE","12-17","Male","59602","21667","322848"
