"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","888951"
"eastern cape","Pfizer","1300639"
"free state","Johnson & Johnson","473619"
"free state","Pfizer","652946"
"gauteng","Johnson & Johnson","1476931"
"gauteng","Pfizer","3811622"
"kwazulu-natal","Johnson & Johnson","1189207"
"kwazulu-natal","Pfizer","1902889"
"limpopo","Johnson & Johnson","1049356"
"limpopo","Pfizer","1011786"
"mpumalanga","Johnson & Johnson","783330"
"mpumalanga","Pfizer","549329"
"northern cape","Johnson & Johnson","208688"
"northern cape","Pfizer","217417"
"north west","Johnson & Johnson","694915"
"north west","Pfizer","604179"
"western cape","Johnson & Johnson","730690"
"western cape","Pfizer","2085704"
