"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","121562","23495","416942"
"EASTERN CAPE","12-17","Male","97873","16007","429096"
"FREE STATE","12-17","Female","82516","29382","161705"
"FREE STATE","12-17","Male","69324","21112","162847"
"GAUTENG","12-17","Female","195456","66045","649047"
"GAUTENG","12-17","Male","160131","51474","648920"
"KWAZULU-NATAL","12-17","Female","129942","32151","647510"
"KWAZULU-NATAL","12-17","Male","91981","22332","658202"
"LIMPOPO","12-17","Female","118736","30946","352420"
"LIMPOPO","12-17","Male","98978","23190","372427"
"MPUMALANGA","12-17","Female","60790","13621","257710"
"MPUMALANGA","12-17","Male","50275","10084","259479"
"NORTHERN CAPE","12-17","Female","13055","3985","69852"
"NORTHERN CAPE","12-17","Male","10660","2937","69047"
"NORTH WEST","12-17","Female","73095","17649","221385"
"NORTH WEST","12-17","Male","61329","12991","223092"
"WESTERN CAPE","12-17","Female","70126","25236","320269"
"WESTERN CAPE","12-17","Male","59355","20780","322848"
