"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","876812"
"eastern cape","Pfizer","1288310"
"free state","Johnson & Johnson","466723"
"free state","Pfizer","644867"
"gauteng","Johnson & Johnson","1446922"
"gauteng","Pfizer","3770541"
"kwazulu-natal","Johnson & Johnson","1170137"
"kwazulu-natal","Pfizer","1878867"
"limpopo","Johnson & Johnson","1036216"
"limpopo","Pfizer","1001645"
"mpumalanga","Johnson & Johnson","765289"
"mpumalanga","Pfizer","540463"
"northern cape","Johnson & Johnson","206557"
"northern cape","Pfizer","215066"
"north west","Johnson & Johnson","685007"
"north west","Pfizer","596636"
"western cape","Johnson & Johnson","721495"
"western cape","Pfizer","2070569"
