"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","122776","24972","416942"
"EASTERN CAPE","12-17","Male","98881","17046","429096"
"FREE STATE","12-17","Female","83003","30188","161705"
"FREE STATE","12-17","Male","69758","21822","162847"
"GAUTENG","12-17","Female","195881","67362","649047"
"GAUTENG","12-17","Male","160571","52489","648920"
"KWAZULU-NATAL","12-17","Female","131550","34231","647510"
"KWAZULU-NATAL","12-17","Male","93091","23539","658202"
"LIMPOPO","12-17","Female","119115","31309","352420"
"LIMPOPO","12-17","Male","99461","23513","372427"
"MPUMALANGA","12-17","Female","61820","14338","257710"
"MPUMALANGA","12-17","Male","51356","10635","259479"
"NORTHERN CAPE","12-17","Female","13120","4121","69852"
"NORTHERN CAPE","12-17","Male","10720","3064","69047"
"NORTH WEST","12-17","Female","74372","18619","221385"
"NORTH WEST","12-17","Male","62279","13728","223092"
"WESTERN CAPE","12-17","Female","70156","25531","320269"
"WESTERN CAPE","12-17","Male","59378","21032","322848"
