"province","vaccine_manufacturer","vaccination_date","total_number_individuals_vaccinated"
"Eastern Cape","Johnson & Johnson","2021-02-17",5
"Eastern Cape","Johnson & Johnson","2021-02-18",93
"Eastern Cape","Johnson & Johnson","2021-02-19",233
"Eastern Cape","Johnson & Johnson","2021-02-21",239
"Eastern Cape","Johnson & Johnson","2021-02-22",319
"Eastern Cape","Johnson & Johnson","2021-02-23",813
"Eastern Cape","Johnson & Johnson","2021-02-24",920
"Eastern Cape","Johnson & Johnson","2021-02-25",929
"Eastern Cape","Johnson & Johnson","2021-02-26",788
"Eastern Cape","Johnson & Johnson","2021-02-27",176
"Eastern Cape","Johnson & Johnson","2021-02-28",195
"Eastern Cape","Johnson & Johnson","2021-03-01",103
"Eastern Cape","Johnson & Johnson","2021-03-02",250
"Eastern Cape","Johnson & Johnson","2021-03-03",652
"Eastern Cape","Johnson & Johnson","2021-03-04",832
"Eastern Cape","Johnson & Johnson","2021-03-05",702
"Eastern Cape","Johnson & Johnson","2021-03-08",410
"Eastern Cape","Johnson & Johnson","2021-03-09",1301
"Eastern Cape","Johnson & Johnson","2021-03-10",1038
"Eastern Cape","Johnson & Johnson","2021-03-11",753
"Eastern Cape","Johnson & Johnson","2021-03-12",533
"Eastern Cape","Johnson & Johnson","2021-03-15",728
"Eastern Cape","Johnson & Johnson","2021-03-16",946
"Eastern Cape","Johnson & Johnson","2021-03-17",1024
"Eastern Cape","Johnson & Johnson","2021-03-18",1469
"Eastern Cape","Johnson & Johnson","2021-03-19",1385
"Eastern Cape","Johnson & Johnson","2021-03-20",1
"Eastern Cape","Johnson & Johnson","2021-03-22",2
"Eastern Cape","Johnson & Johnson","2021-03-23",1476
"Eastern Cape","Johnson & Johnson","2021-03-24",1292
"Eastern Cape","Johnson & Johnson","2021-03-25",1595
"Eastern Cape","Johnson & Johnson","2021-03-26",1563
"Eastern Cape","Johnson & Johnson","2021-03-29",1571
"Eastern Cape","Johnson & Johnson","2021-03-30",1572
"Eastern Cape","Johnson & Johnson","2021-03-31",1806
"Eastern Cape","Johnson & Johnson","2021-04-01",1066
"Eastern Cape","Johnson & Johnson","2021-04-06",1044
"Eastern Cape","Johnson & Johnson","2021-04-07",1151
"Eastern Cape","Johnson & Johnson","2021-04-08",1173
"Eastern Cape","Johnson & Johnson","2021-04-09",1271
"Eastern Cape","Johnson & Johnson","2021-04-11",1
"Eastern Cape","Johnson & Johnson","2021-04-12",1060
"Eastern Cape","Johnson & Johnson","2021-04-13",770
"Eastern Cape","Johnson & Johnson","2021-04-21",1
"Eastern Cape","Johnson & Johnson","2021-04-28",688
"Eastern Cape","Johnson & Johnson","2021-04-29",713
"Eastern Cape","Johnson & Johnson","2021-04-30",540
"Eastern Cape","Johnson & Johnson","2021-05-03",586
"Eastern Cape","Johnson & Johnson","2021-05-04",906
"Eastern Cape","Johnson & Johnson","2021-05-05",1450
"Eastern Cape","Johnson & Johnson","2021-05-06",1783
"Eastern Cape","Johnson & Johnson","2021-05-07",1840
"Eastern Cape","Johnson & Johnson","2021-05-09",1
"Eastern Cape","Johnson & Johnson","2021-05-10",2146
"Eastern Cape","Johnson & Johnson","2021-05-11",2409
"Eastern Cape","Johnson & Johnson","2021-05-12",2826
"Eastern Cape","Johnson & Johnson","2021-05-13",2729
"Eastern Cape","Johnson & Johnson","2021-05-14",3475
"Eastern Cape","Johnson & Johnson","2021-05-15",120
"Eastern Cape","Johnson & Johnson","2021-05-16",18
"Eastern Cape","Johnson & Johnson","2021-05-17",716
"Eastern Cape","Johnson & Johnson","2021-05-18",415
"Eastern Cape","Johnson & Johnson","2021-05-19",661
"Eastern Cape","Johnson & Johnson","2021-05-20",279
"Eastern Cape","Johnson & Johnson","2021-05-21",126
"Eastern Cape","Johnson & Johnson","2021-05-23",1
"Eastern Cape","Johnson & Johnson","2021-05-27",1
"Eastern Cape","Johnson & Johnson","2021-05-28",129
"Eastern Cape","Johnson & Johnson","2021-05-31",2
"Eastern Cape","Johnson & Johnson","2021-06-08",1
"Eastern Cape","Johnson & Johnson","2021-06-15",2
"Eastern Cape","Johnson & Johnson","2021-06-17",1
"Eastern Cape","Johnson & Johnson","2021-06-21",2
"Eastern Cape","Johnson & Johnson","2021-06-23",7392
"Eastern Cape","Johnson & Johnson","2021-06-24",9582
"Eastern Cape","Johnson & Johnson","2021-06-25",7617
"Eastern Cape","Johnson & Johnson","2021-06-26",4
"Eastern Cape","Johnson & Johnson","2021-06-27",8
"Eastern Cape","Johnson & Johnson","2021-06-28",7598
"Eastern Cape","Johnson & Johnson","2021-06-29",4818
"Eastern Cape","Johnson & Johnson","2021-06-30",6346
"Eastern Cape","Johnson & Johnson","2021-07-01",4914
"Eastern Cape","Johnson & Johnson","2021-07-02",2523
"Eastern Cape","Johnson & Johnson","2021-07-03",3
"Eastern Cape","Johnson & Johnson","2021-07-04",2
"Eastern Cape","Johnson & Johnson","2021-07-05",1564
"Eastern Cape","Johnson & Johnson","2021-07-06",1819
"Eastern Cape","Johnson & Johnson","2021-07-07",2095
"Eastern Cape","Johnson & Johnson","2021-07-08",1776
"Eastern Cape","Johnson & Johnson","2021-07-09",1105
"Eastern Cape","Johnson & Johnson","2021-07-11",3
"Eastern Cape","Johnson & Johnson","2021-07-12",698
"Eastern Cape","Johnson & Johnson","2021-07-13",1238
"Eastern Cape","Johnson & Johnson","2021-07-14",1422
"Eastern Cape","Johnson & Johnson","2021-07-15",2002
"Eastern Cape","Johnson & Johnson","2021-07-16",1746
"Eastern Cape","Johnson & Johnson","2021-07-17",527
"Eastern Cape","Johnson & Johnson","2021-07-18",303
"Eastern Cape","Johnson & Johnson","2021-07-19",5269
"Eastern Cape","Johnson & Johnson","2021-07-20",6632
"Eastern Cape","Johnson & Johnson","2021-07-21",12458
"Eastern Cape","Johnson & Johnson","2021-07-22",10848
"Eastern Cape","Johnson & Johnson","2021-07-23",9296
"Eastern Cape","Johnson & Johnson","2021-07-24",1894
"Eastern Cape","Johnson & Johnson","2021-07-25",1025
"Eastern Cape","Johnson & Johnson","2021-07-26",11001
"Eastern Cape","Johnson & Johnson","2021-07-27",12843
"Eastern Cape","Johnson & Johnson","2021-07-28",12073
"Eastern Cape","Johnson & Johnson","2021-07-29",9242
"Eastern Cape","Johnson & Johnson","2021-07-30",5057
"Eastern Cape","Johnson & Johnson","2021-07-31",1302
"Eastern Cape","Johnson & Johnson","2021-08-01",467
"Eastern Cape","Johnson & Johnson","2021-08-02",5231
"Eastern Cape","Johnson & Johnson","2021-08-03",5916
"Eastern Cape","Johnson & Johnson","2021-08-04",7228
"Eastern Cape","Johnson & Johnson","2021-08-05",6342
"Eastern Cape","Johnson & Johnson","2021-08-06",6043
"Eastern Cape","Johnson & Johnson","2021-08-07",914
"Eastern Cape","Johnson & Johnson","2021-08-08",473
"Eastern Cape","Johnson & Johnson","2021-08-09",462
"Eastern Cape","Johnson & Johnson","2021-08-10",6620
"Eastern Cape","Johnson & Johnson","2021-08-11",6431
"Eastern Cape","Johnson & Johnson","2021-08-12",6199
"Eastern Cape","Johnson & Johnson","2021-08-13",3512
"Eastern Cape","Johnson & Johnson","2021-08-14",789
"Eastern Cape","Johnson & Johnson","2021-08-15",392
"Eastern Cape","Johnson & Johnson","2021-08-16",5279
"Eastern Cape","Johnson & Johnson","2021-08-17",5659
"Eastern Cape","Johnson & Johnson","2021-08-18",5507
"Eastern Cape","Johnson & Johnson","2021-08-19",5686
"Eastern Cape","Johnson & Johnson","2021-08-20",5903
"Eastern Cape","Johnson & Johnson","2021-08-21",1638
"Eastern Cape","Johnson & Johnson","2021-08-22",563
"Eastern Cape","Johnson & Johnson","2021-08-23",7482
"Eastern Cape","Johnson & Johnson","2021-08-24",8863
"Eastern Cape","Johnson & Johnson","2021-08-25",8659
"Eastern Cape","Johnson & Johnson","2021-08-26",7976
"Eastern Cape","Johnson & Johnson","2021-08-27",6246
"Eastern Cape","Johnson & Johnson","2021-08-28",2086
"Eastern Cape","Johnson & Johnson","2021-08-29",1323
"Eastern Cape","Johnson & Johnson","2021-08-30",7122
"Eastern Cape","Johnson & Johnson","2021-08-31",7438
"Eastern Cape","Johnson & Johnson","2021-09-01",7519
"Eastern Cape","Johnson & Johnson","2021-09-02",7197
"Eastern Cape","Johnson & Johnson","2021-09-03",5433
"Eastern Cape","Johnson & Johnson","2021-09-04",2420
"Eastern Cape","Johnson & Johnson","2021-09-05",793
"Eastern Cape","Johnson & Johnson","2021-09-06",4721
"Eastern Cape","Johnson & Johnson","2021-09-07",4414
"Eastern Cape","Johnson & Johnson","2021-09-08",6560
"Eastern Cape","Johnson & Johnson","2021-09-09",5575
"Eastern Cape","Johnson & Johnson","2021-09-10",4688
"Eastern Cape","Johnson & Johnson","2021-09-11",1659
"Eastern Cape","Johnson & Johnson","2021-09-12",531
"Eastern Cape","Johnson & Johnson","2021-09-13",3387
"Eastern Cape","Johnson & Johnson","2021-09-14",3842
"Eastern Cape","Johnson & Johnson","2021-09-15",4596
"Eastern Cape","Johnson & Johnson","2021-09-16",4981
"Eastern Cape","Johnson & Johnson","2021-09-17",3907
"Eastern Cape","Johnson & Johnson","2021-09-18",1725
"Eastern Cape","Johnson & Johnson","2021-09-19",822
"Eastern Cape","Johnson & Johnson","2021-09-20",5551
"Eastern Cape","Johnson & Johnson","2021-09-21",4757
"Eastern Cape","Johnson & Johnson","2021-09-22",5831
"Eastern Cape","Johnson & Johnson","2021-09-23",4690
"Eastern Cape","Johnson & Johnson","2021-09-24",687
"Eastern Cape","Johnson & Johnson","2021-09-25",828
"Eastern Cape","Johnson & Johnson","2021-09-26",326
"Eastern Cape","Johnson & Johnson","2021-09-27",3987
"Eastern Cape","Johnson & Johnson","2021-09-28",4407
"Eastern Cape","Johnson & Johnson","2021-09-29",4428
"Eastern Cape","Johnson & Johnson","2021-09-30",3293
"Eastern Cape","Johnson & Johnson","2021-10-01",6551
"Eastern Cape","Johnson & Johnson","2021-10-02",5720
"Eastern Cape","Johnson & Johnson","2021-10-03",4100
"Eastern Cape","Johnson & Johnson","2021-10-04",6056
"Eastern Cape","Johnson & Johnson","2021-10-05",6346
"Eastern Cape","Johnson & Johnson","2021-10-06",6619
"Eastern Cape","Johnson & Johnson","2021-10-07",6132
"Eastern Cape","Johnson & Johnson","2021-10-08",5344
"Eastern Cape","Johnson & Johnson","2021-10-09",1879
"Eastern Cape","Johnson & Johnson","2021-10-10",1203
"Eastern Cape","Johnson & Johnson","2021-10-11",5579
"Eastern Cape","Johnson & Johnson","2021-10-12",6819
"Eastern Cape","Johnson & Johnson","2021-10-13",7627
"Eastern Cape","Johnson & Johnson","2021-10-14",7264
"Eastern Cape","Johnson & Johnson","2021-10-15",5821
"Eastern Cape","Johnson & Johnson","2021-10-16",2453
"Eastern Cape","Johnson & Johnson","2021-10-17",1164
"Eastern Cape","Johnson & Johnson","2021-10-18",4830
"Eastern Cape","Johnson & Johnson","2021-10-19",5484
"Eastern Cape","Johnson & Johnson","2021-10-20",6733
"Eastern Cape","Johnson & Johnson","2021-10-21",7856
"Eastern Cape","Johnson & Johnson","2021-10-22",5877
"Eastern Cape","Johnson & Johnson","2021-10-23",2533
"Eastern Cape","Johnson & Johnson","2021-10-24",1150
"Eastern Cape","Johnson & Johnson","2021-10-25",6309
"Eastern Cape","Johnson & Johnson","2021-10-26",7044
"Eastern Cape","Johnson & Johnson","2021-10-27",6535
"Eastern Cape","Johnson & Johnson","2021-10-28",6873
"Eastern Cape","Johnson & Johnson","2021-10-29",4826
"Eastern Cape","Johnson & Johnson","2021-10-30",1385
"Eastern Cape","Johnson & Johnson","2021-10-31",679
"Eastern Cape","Johnson & Johnson","2021-11-01",3589
"Eastern Cape","Johnson & Johnson","2021-11-02",5236
"Eastern Cape","Johnson & Johnson","2021-11-03",5903
"Eastern Cape","Johnson & Johnson","2021-11-04",6396
"Eastern Cape","Johnson & Johnson","2021-11-05",5334
"Eastern Cape","Johnson & Johnson","2021-11-06",1131
"Eastern Cape","Johnson & Johnson","2021-11-07",581
"Eastern Cape","Johnson & Johnson","2021-11-08",3124
"Eastern Cape","Johnson & Johnson","2021-11-09",4386
"Eastern Cape","Johnson & Johnson","2021-11-10",6028
"Eastern Cape","Johnson & Johnson","2021-11-11",5854
"Eastern Cape","Johnson & Johnson","2021-11-12",4981
"Eastern Cape","Johnson & Johnson","2021-11-13",3419
"Eastern Cape","Johnson & Johnson","2021-11-14",2733
"Eastern Cape","Johnson & Johnson","2021-11-15",5292
"Eastern Cape","Johnson & Johnson","2021-11-16",5654
"Eastern Cape","Johnson & Johnson","2021-11-17",4911
"Eastern Cape","Johnson & Johnson","2021-11-18",4349
"Eastern Cape","Johnson & Johnson","2021-11-19",3494
"Eastern Cape","Johnson & Johnson","2021-11-20",848
"Eastern Cape","Johnson & Johnson","2021-11-21",412
"Eastern Cape","Johnson & Johnson","2021-11-22",4609
"Eastern Cape","Johnson & Johnson","2021-11-23",3902
"Eastern Cape","Johnson & Johnson","2021-11-24",4822
"Eastern Cape","Johnson & Johnson","2021-11-25",4360
"Eastern Cape","Johnson & Johnson","2021-11-26",3182
"Eastern Cape","Johnson & Johnson","2021-11-27",961
"Eastern Cape","Johnson & Johnson","2021-11-28",413
"Eastern Cape","Johnson & Johnson","2021-11-29",6115
"Eastern Cape","Johnson & Johnson","2021-11-30",5837
"Eastern Cape","Johnson & Johnson","2021-12-01",4996
"Eastern Cape","Johnson & Johnson","2021-12-02",4868
"Eastern Cape","Johnson & Johnson","2021-12-03",3494
"Eastern Cape","Johnson & Johnson","2021-12-04",933
"Eastern Cape","Johnson & Johnson","2021-12-05",599
"Eastern Cape","Johnson & Johnson","2021-12-06",3349
"Eastern Cape","Johnson & Johnson","2021-12-07",3379
"Eastern Cape","Johnson & Johnson","2021-12-08",3154
"Eastern Cape","Johnson & Johnson","2021-12-09",3385
"Eastern Cape","Johnson & Johnson","2021-12-10",2000
"Eastern Cape","Johnson & Johnson","2021-12-11",496
"Eastern Cape","Johnson & Johnson","2021-12-12",213
"Eastern Cape","Johnson & Johnson","2021-12-13",2437
"Eastern Cape","Johnson & Johnson","2021-12-14",2068
"Eastern Cape","Johnson & Johnson","2021-12-15",1861
"Eastern Cape","Pfizer","2021-05-17",2419
"Eastern Cape","Pfizer","2021-05-18",4990
"Eastern Cape","Pfizer","2021-05-19",4759
"Eastern Cape","Pfizer","2021-05-20",3529
"Eastern Cape","Pfizer","2021-05-21",4016
"Eastern Cape","Pfizer","2021-05-22",163
"Eastern Cape","Pfizer","2021-05-23",210
"Eastern Cape","Pfizer","2021-05-24",6528
"Eastern Cape","Pfizer","2021-05-25",6565
"Eastern Cape","Pfizer","2021-05-26",7124
"Eastern Cape","Pfizer","2021-05-27",6564
"Eastern Cape","Pfizer","2021-05-28",4754
"Eastern Cape","Pfizer","2021-05-29",158
"Eastern Cape","Pfizer","2021-05-30",14
"Eastern Cape","Pfizer","2021-05-31",5874
"Eastern Cape","Pfizer","2021-06-01",3527
"Eastern Cape","Pfizer","2021-06-02",2611
"Eastern Cape","Pfizer","2021-06-03",2696
"Eastern Cape","Pfizer","2021-06-04",5388
"Eastern Cape","Pfizer","2021-06-05",130
"Eastern Cape","Pfizer","2021-06-06",5
"Eastern Cape","Pfizer","2021-06-07",8173
"Eastern Cape","Pfizer","2021-06-08",9340
"Eastern Cape","Pfizer","2021-06-09",9004
"Eastern Cape","Pfizer","2021-06-10",8865
"Eastern Cape","Pfizer","2021-06-11",8738
"Eastern Cape","Pfizer","2021-06-12",93
"Eastern Cape","Pfizer","2021-06-13",60
"Eastern Cape","Pfizer","2021-06-14",12401
"Eastern Cape","Pfizer","2021-06-15",12132
"Eastern Cape","Pfizer","2021-06-16",180
"Eastern Cape","Pfizer","2021-06-17",13701
"Eastern Cape","Pfizer","2021-06-18",9975
"Eastern Cape","Pfizer","2021-06-19",51
"Eastern Cape","Pfizer","2021-06-20",7
"Eastern Cape","Pfizer","2021-06-21",13696
"Eastern Cape","Pfizer","2021-06-22",12493
"Eastern Cape","Pfizer","2021-06-23",10456
"Eastern Cape","Pfizer","2021-06-24",9533
"Eastern Cape","Pfizer","2021-06-25",7427
"Eastern Cape","Pfizer","2021-06-26",133
"Eastern Cape","Pfizer","2021-06-27",1
"Eastern Cape","Pfizer","2021-06-28",11783
"Eastern Cape","Pfizer","2021-06-29",12869
"Eastern Cape","Pfizer","2021-06-30",11184
"Eastern Cape","Pfizer","2021-07-01",11487
"Eastern Cape","Pfizer","2021-07-02",9910
"Eastern Cape","Pfizer","2021-07-03",192
"Eastern Cape","Pfizer","2021-07-04",191
"Eastern Cape","Pfizer","2021-07-05",14841
"Eastern Cape","Pfizer","2021-07-06",16449
"Eastern Cape","Pfizer","2021-07-07",19399
"Eastern Cape","Pfizer","2021-07-08",21202
"Eastern Cape","Pfizer","2021-07-09",16399
"Eastern Cape","Pfizer","2021-07-10",241
"Eastern Cape","Pfizer","2021-07-11",266
"Eastern Cape","Pfizer","2021-07-12",24311
"Eastern Cape","Pfizer","2021-07-13",17718
"Eastern Cape","Pfizer","2021-07-14",20913
"Eastern Cape","Pfizer","2021-07-15",25088
"Eastern Cape","Pfizer","2021-07-16",20534
"Eastern Cape","Pfizer","2021-07-17",717
"Eastern Cape","Pfizer","2021-07-18",284
"Eastern Cape","Pfizer","2021-07-19",26443
"Eastern Cape","Pfizer","2021-07-20",23438
"Eastern Cape","Pfizer","2021-07-21",17386
"Eastern Cape","Pfizer","2021-07-22",12710
"Eastern Cape","Pfizer","2021-07-23",9311
"Eastern Cape","Pfizer","2021-07-24",405
"Eastern Cape","Pfizer","2021-07-25",308
"Eastern Cape","Pfizer","2021-07-26",12072
"Eastern Cape","Pfizer","2021-07-27",10880
"Eastern Cape","Pfizer","2021-07-28",11742
"Eastern Cape","Pfizer","2021-07-29",8933
"Eastern Cape","Pfizer","2021-07-30",7914
"Eastern Cape","Pfizer","2021-07-31",549
"Eastern Cape","Pfizer","2021-08-01",556
"Eastern Cape","Pfizer","2021-08-02",10234
"Eastern Cape","Pfizer","2021-08-03",10744
"Eastern Cape","Pfizer","2021-08-04",9299
"Eastern Cape","Pfizer","2021-08-05",7703
"Eastern Cape","Pfizer","2021-08-06",5787
"Eastern Cape","Pfizer","2021-08-07",538
"Eastern Cape","Pfizer","2021-08-08",42
"Eastern Cape","Pfizer","2021-08-09",57
"Eastern Cape","Pfizer","2021-08-10",5092
"Eastern Cape","Pfizer","2021-08-11",7079
"Eastern Cape","Pfizer","2021-08-12",5753
"Eastern Cape","Pfizer","2021-08-13",4161
"Eastern Cape","Pfizer","2021-08-14",182
"Eastern Cape","Pfizer","2021-08-15",41
"Eastern Cape","Pfizer","2021-08-16",5536
"Eastern Cape","Pfizer","2021-08-17",6426
"Eastern Cape","Pfizer","2021-08-18",6518
"Eastern Cape","Pfizer","2021-08-19",5867
"Eastern Cape","Pfizer","2021-08-20",8251
"Eastern Cape","Pfizer","2021-08-21",450
"Eastern Cape","Pfizer","2021-08-22",337
"Eastern Cape","Pfizer","2021-08-23",10732
"Eastern Cape","Pfizer","2021-08-24",13288
"Eastern Cape","Pfizer","2021-08-25",13444
"Eastern Cape","Pfizer","2021-08-26",11834
"Eastern Cape","Pfizer","2021-08-27",9544
"Eastern Cape","Pfizer","2021-08-28",424
"Eastern Cape","Pfizer","2021-08-29",270
"Eastern Cape","Pfizer","2021-08-30",10468
"Eastern Cape","Pfizer","2021-08-31",10682
"Eastern Cape","Pfizer","2021-09-01",10388
"Eastern Cape","Pfizer","2021-09-02",11534
"Eastern Cape","Pfizer","2021-09-03",8714
"Eastern Cape","Pfizer","2021-09-04",892
"Eastern Cape","Pfizer","2021-09-05",923
"Eastern Cape","Pfizer","2021-09-06",7285
"Eastern Cape","Pfizer","2021-09-07",6424
"Eastern Cape","Pfizer","2021-09-08",9926
"Eastern Cape","Pfizer","2021-09-09",12746
"Eastern Cape","Pfizer","2021-09-10",9405
"Eastern Cape","Pfizer","2021-09-11",1550
"Eastern Cape","Pfizer","2021-09-12",633
"Eastern Cape","Pfizer","2021-09-13",12363
"Eastern Cape","Pfizer","2021-09-14",14690
"Eastern Cape","Pfizer","2021-09-15",14575
"Eastern Cape","Pfizer","2021-09-16",10817
"Eastern Cape","Pfizer","2021-09-17",6668
"Eastern Cape","Pfizer","2021-09-18",846
"Eastern Cape","Pfizer","2021-09-19",420
"Eastern Cape","Pfizer","2021-09-20",10640
"Eastern Cape","Pfizer","2021-09-21",11042
"Eastern Cape","Pfizer","2021-09-22",11671
"Eastern Cape","Pfizer","2021-09-23",9503
"Eastern Cape","Pfizer","2021-09-24",748
"Eastern Cape","Pfizer","2021-09-25",922
"Eastern Cape","Pfizer","2021-09-26",468
"Eastern Cape","Pfizer","2021-09-27",8496
"Eastern Cape","Pfizer","2021-09-28",9381
"Eastern Cape","Pfizer","2021-09-29",7919
"Eastern Cape","Pfizer","2021-09-30",6086
"Eastern Cape","Pfizer","2021-10-01",6860
"Eastern Cape","Pfizer","2021-10-02",2645
"Eastern Cape","Pfizer","2021-10-03",1960
"Eastern Cape","Pfizer","2021-10-04",6946
"Eastern Cape","Pfizer","2021-10-05",6068
"Eastern Cape","Pfizer","2021-10-06",7361
"Eastern Cape","Pfizer","2021-10-07",7518
"Eastern Cape","Pfizer","2021-10-08",5789
"Eastern Cape","Pfizer","2021-10-09",1395
"Eastern Cape","Pfizer","2021-10-10",549
"Eastern Cape","Pfizer","2021-10-11",7241
"Eastern Cape","Pfizer","2021-10-12",7458
"Eastern Cape","Pfizer","2021-10-13",7238
"Eastern Cape","Pfizer","2021-10-14",7159
"Eastern Cape","Pfizer","2021-10-15",5809
"Eastern Cape","Pfizer","2021-10-16",1053
"Eastern Cape","Pfizer","2021-10-17",299
"Eastern Cape","Pfizer","2021-10-18",6305
"Eastern Cape","Pfizer","2021-10-19",6835
"Eastern Cape","Pfizer","2021-10-20",5834
"Eastern Cape","Pfizer","2021-10-21",5037
"Eastern Cape","Pfizer","2021-10-22",3687
"Eastern Cape","Pfizer","2021-10-23",981
"Eastern Cape","Pfizer","2021-10-24",193
"Eastern Cape","Pfizer","2021-10-25",4299
"Eastern Cape","Pfizer","2021-10-26",4572
"Eastern Cape","Pfizer","2021-10-27",3678
"Eastern Cape","Pfizer","2021-10-28",3299
"Eastern Cape","Pfizer","2021-10-29",2602
"Eastern Cape","Pfizer","2021-10-30",661
"Eastern Cape","Pfizer","2021-10-31",123
"Eastern Cape","Pfizer","2021-11-01",591
"Eastern Cape","Pfizer","2021-11-02",3043
"Eastern Cape","Pfizer","2021-11-03",2891
"Eastern Cape","Pfizer","2021-11-04",3110
"Eastern Cape","Pfizer","2021-11-05",2243
"Eastern Cape","Pfizer","2021-11-06",375
"Eastern Cape","Pfizer","2021-11-07",35
"Eastern Cape","Pfizer","2021-11-08",1598
"Eastern Cape","Pfizer","2021-11-09",2217
"Eastern Cape","Pfizer","2021-11-10",3146
"Eastern Cape","Pfizer","2021-11-11",2880
"Eastern Cape","Pfizer","2021-11-12",2477
"Eastern Cape","Pfizer","2021-11-13",630
"Eastern Cape","Pfizer","2021-11-14",287
"Eastern Cape","Pfizer","2021-11-15",2779
"Eastern Cape","Pfizer","2021-11-16",2944
"Eastern Cape","Pfizer","2021-11-17",2632
"Eastern Cape","Pfizer","2021-11-18",2248
"Eastern Cape","Pfizer","2021-11-19",2247
"Eastern Cape","Pfizer","2021-11-20",280
"Eastern Cape","Pfizer","2021-11-21",118
"Eastern Cape","Pfizer","2021-11-22",2535
"Eastern Cape","Pfizer","2021-11-23",2153
"Eastern Cape","Pfizer","2021-11-24",2338
"Eastern Cape","Pfizer","2021-11-25",2320
"Eastern Cape","Pfizer","2021-11-26",2065
"Eastern Cape","Pfizer","2021-11-27",299
"Eastern Cape","Pfizer","2021-11-28",41
"Eastern Cape","Pfizer","2021-11-29",3598
"Eastern Cape","Pfizer","2021-11-30",3458
"Eastern Cape","Pfizer","2021-12-01",2875
"Eastern Cape","Pfizer","2021-12-02",2826
"Eastern Cape","Pfizer","2021-12-03",2333
"Eastern Cape","Pfizer","2021-12-04",503
"Eastern Cape","Pfizer","2021-12-05",173
"Eastern Cape","Pfizer","2021-12-06",2295
"Eastern Cape","Pfizer","2021-12-07",2363
"Eastern Cape","Pfizer","2021-12-08",2425
"Eastern Cape","Pfizer","2021-12-09",2194
"Eastern Cape","Pfizer","2021-12-10",1892
"Eastern Cape","Pfizer","2021-12-11",345
"Eastern Cape","Pfizer","2021-12-12",51
"Eastern Cape","Pfizer","2021-12-13",1924
"Eastern Cape","Pfizer","2021-12-14",1598
"Eastern Cape","Pfizer","2021-12-15",1472
"Free State","Johnson & Johnson","2021-02-17",12
"Free State","Johnson & Johnson","2021-02-18",260
"Free State","Johnson & Johnson","2021-02-19",287
"Free State","Johnson & Johnson","2021-02-22",722
"Free State","Johnson & Johnson","2021-02-23",781
"Free State","Johnson & Johnson","2021-02-24",827
"Free State","Johnson & Johnson","2021-02-25",801
"Free State","Johnson & Johnson","2021-02-26",552
"Free State","Johnson & Johnson","2021-02-27",304
"Free State","Johnson & Johnson","2021-02-28",275
"Free State","Johnson & Johnson","2021-03-01",590
"Free State","Johnson & Johnson","2021-03-02",550
"Free State","Johnson & Johnson","2021-03-03",812
"Free State","Johnson & Johnson","2021-03-04",793
"Free State","Johnson & Johnson","2021-03-05",351
"Free State","Johnson & Johnson","2021-03-06",76
"Free State","Johnson & Johnson","2021-03-08",326
"Free State","Johnson & Johnson","2021-03-09",909
"Free State","Johnson & Johnson","2021-03-10",942
"Free State","Johnson & Johnson","2021-03-11",410
"Free State","Johnson & Johnson","2021-03-12",468
"Free State","Johnson & Johnson","2021-03-15",619
"Free State","Johnson & Johnson","2021-03-16",532
"Free State","Johnson & Johnson","2021-03-17",643
"Free State","Johnson & Johnson","2021-03-18",411
"Free State","Johnson & Johnson","2021-03-19",631
"Free State","Johnson & Johnson","2021-03-23",455
"Free State","Johnson & Johnson","2021-03-24",659
"Free State","Johnson & Johnson","2021-03-25",219
"Free State","Johnson & Johnson","2021-03-26",407
"Free State","Johnson & Johnson","2021-03-30",242
"Free State","Johnson & Johnson","2021-03-31",670
"Free State","Johnson & Johnson","2021-04-01",72
"Free State","Johnson & Johnson","2021-04-06",58
"Free State","Johnson & Johnson","2021-04-07",547
"Free State","Johnson & Johnson","2021-04-08",501
"Free State","Johnson & Johnson","2021-04-09",249
"Free State","Johnson & Johnson","2021-04-12",20
"Free State","Johnson & Johnson","2021-04-13",122
"Free State","Johnson & Johnson","2021-04-28",120
"Free State","Johnson & Johnson","2021-04-29",564
"Free State","Johnson & Johnson","2021-04-30",672
"Free State","Johnson & Johnson","2021-05-03",46
"Free State","Johnson & Johnson","2021-05-04",331
"Free State","Johnson & Johnson","2021-05-05",313
"Free State","Johnson & Johnson","2021-05-06",89
"Free State","Johnson & Johnson","2021-05-07",188
"Free State","Johnson & Johnson","2021-05-10",333
"Free State","Johnson & Johnson","2021-05-11",535
"Free State","Johnson & Johnson","2021-05-12",1081
"Free State","Johnson & Johnson","2021-05-13",1214
"Free State","Johnson & Johnson","2021-05-14",602
"Free State","Johnson & Johnson","2021-05-15",23
"Free State","Johnson & Johnson","2021-05-21",2
"Free State","Johnson & Johnson","2021-05-25",1
"Free State","Johnson & Johnson","2021-05-27",1
"Free State","Johnson & Johnson","2021-05-28",2
"Free State","Johnson & Johnson","2021-05-29",5
"Free State","Johnson & Johnson","2021-06-01",1
"Free State","Johnson & Johnson","2021-06-02",1
"Free State","Johnson & Johnson","2021-06-06",2
"Free State","Johnson & Johnson","2021-06-10",2
"Free State","Johnson & Johnson","2021-06-11",3
"Free State","Johnson & Johnson","2021-06-14",33
"Free State","Johnson & Johnson","2021-06-16",1
