"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","882476"
"eastern cape","Pfizer","1293869"
"free state","Johnson & Johnson","469754"
"free state","Pfizer","648240"
"gauteng","Johnson & Johnson","1461394"
"gauteng","Pfizer","3788759"
"kwazulu-natal","Johnson & Johnson","1179802"
"kwazulu-natal","Pfizer","1890577"
"limpopo","Johnson & Johnson","1042077"
"limpopo","Pfizer","1005940"
"mpumalanga","Johnson & Johnson","773512"
"mpumalanga","Pfizer","544665"
"northern cape","Johnson & Johnson","207449"
"northern cape","Pfizer","216098"
"north west","Johnson & Johnson","689330"
"north west","Pfizer","599835"
"western cape","Johnson & Johnson","725517"
"western cape","Pfizer","2077400"
