"province","age_group","sex","total_number_individuals_vaccinated","population"
"EASTERN CAPE","18-34","Female","362704","839479"
"EASTERN CAPE","18-34","Male","269315","854468"
"EASTERN CAPE","35-49","Female","358258","586430"
"EASTERN CAPE","35-49","Male","240356","522727"
"EASTERN CAPE","50-59","Female","231499","320585"
"EASTERN CAPE","50-59","Male","144265","196960"
"EASTERN CAPE","60+","Female","349030","517296"
"EASTERN CAPE","60+","Male","209264","261598"
"EASTERN CAPE","Unidentified","Female","328",""
"EASTERN CAPE","Unidentified","Male","103",""
"FREE STATE","18-34","Female","216477","410210"
"FREE STATE","18-34","Male","163329","419145"
"FREE STATE","35-49","Female","186426","283918"
"FREE STATE","35-49","Male","152486","266941"
"FREE STATE","50-59","Female","102191","140470"
"FREE STATE","50-59","Male","78852","105617"
"FREE STATE","60+","Female","130245","178195"
"FREE STATE","60+","Male","81412","110025"
"FREE STATE","Unidentified","Female","100",""
"FREE STATE","Unidentified","Male","72",""
"GAUTENG","18-34","Female","935667","2584852"
"GAUTENG","18-34","Male","786416","2611302"
"GAUTENG","35-49","Female","955587","1659380"
"GAUTENG","35-49","Male","887940","1782603"
"GAUTENG","50-59","Female","424162","675158"
"GAUTENG","50-59","Male","401253","655342"
"GAUTENG","60+","Female","469238","745260"
"GAUTENG","60+","Male","356676","597429"
"GAUTENG","Unidentified","Female","324",""
"GAUTENG","Unidentified","Male","200",""
"KWAZULU-NATAL","18-34","Female","571680","1707989"
"KWAZULU-NATAL","18-34","Male","394297","1725158"
"KWAZULU-NATAL","35-49","Female","543592","1071255"
"KWAZULU-NATAL","35-49","Male","387944","951364"
"KWAZULU-NATAL","50-59","Female","291164","492136"
"KWAZULU-NATAL","50-59","Male","193937","316845"
"KWAZULU-NATAL","60+","Female","425410","624115"
"KWAZULU-NATAL","60+","Male","240438","330933"
"KWAZULU-NATAL","Unidentified","Female","393",""
"KWAZULU-NATAL","Unidentified","Male","149",""
"LIMPOPO","18-34","Female","403066","818804"
"LIMPOPO","18-34","Male","267953","833104"
"LIMPOPO","35-49","Female","361539","573264"
"LIMPOPO","35-49","Male","236656","493423"
"LIMPOPO","50-59","Female","194277","265501"
"LIMPOPO","50-59","Male","129505","165831"
"LIMPOPO","60+","Female","282298","372555"
"LIMPOPO","60+","Male","161804","173319"
"LIMPOPO","Unidentified","Female","654",""
"LIMPOPO","Unidentified","Male","109",""
"MPUMALANGA","18-34","Female","249924","681710"
"MPUMALANGA","18-34","Male","203767","729028"
"MPUMALANGA","35-49","Female","224568","451254"
"MPUMALANGA","35-49","Male","193079","457785"
"MPUMALANGA","50-59","Female","111882","197794"
"MPUMALANGA","50-59","Male","89809","151183"
"MPUMALANGA","60+","Female","135472","224305"
"MPUMALANGA","60+","Male","97003","146461"
"MPUMALANGA","Unidentified","Female","171",""
"MPUMALANGA","Unidentified","Male","77",""
"NORTHERN CAPE","18-34","Female","72965","174695"
"NORTHERN CAPE","18-34","Male","69324","182300"
"NORTHERN CAPE","35-49","Female","66234","118328"
"NORTHERN CAPE","35-49","Male","69433","131923"
"NORTHERN CAPE","50-59","Female","35870","57823"
"NORTHERN CAPE","50-59","Male","33030","49198"
"NORTHERN CAPE","60+","Female","42940","80820"
"NORTHERN CAPE","60+","Male","31792","52458"
"NORTHERN CAPE","Unidentified","Female","25",""
"NORTHERN CAPE","Unidentified","Male","10",""
"NORTH WEST","18-34","Female","230203","547199"
"NORTH WEST","18-34","Male","189028","611287"
"NORTH WEST","35-49","Female","207335","386831"
"NORTH WEST","35-49","Male","206868","437698"
"NORTH WEST","50-59","Female","105797","173790"
"NORTH WEST","50-59","Male","104322","168889"
"NORTH WEST","60+","Female","136038","213393"
"NORTH WEST","60+","Male","101794","154160"
"NORTH WEST","Unidentified","Female","137",""
"NORTH WEST","Unidentified","Male","121",""
"WESTERN CAPE","18-34","Female","507801","1010156"
"WESTERN CAPE","18-34","Male","435693","1047625"
"WESTERN CAPE","35-49","Female","464390","744325"
"WESTERN CAPE","35-49","Male","406038","767488"
"WESTERN CAPE","50-59","Female","238688","368383"
"WESTERN CAPE","50-59","Male","205336","315766"
"WESTERN CAPE","60+","Female","306744","422288"
"WESTERN CAPE","60+","Male","227162","300872"
"WESTERN CAPE","Unidentified","Female","131",""
"WESTERN CAPE","Unidentified","Male","81",""
