"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","124418","26952","416942"
"EASTERN CAPE","12-17","Male","100083","18161","429096"
"FREE STATE","12-17","Female","83802","31244","161705"
"FREE STATE","12-17","Male","70539","22647","162847"
"GAUTENG","12-17","Female","197315","69726","649047"
"GAUTENG","12-17","Male","161671","54167","648920"
"KWAZULU-NATAL","12-17","Female","132966","36512","647510"
"KWAZULU-NATAL","12-17","Male","93950","24839","658202"
"LIMPOPO","12-17","Female","120563","32424","352420"
"LIMPOPO","12-17","Male","100658","24392","372427"
"MPUMALANGA","12-17","Female","63944","15446","257710"
"MPUMALANGA","12-17","Male","53408","11400","259479"
"NORTHERN CAPE","12-17","Female","13129","4152","69852"
"NORTHERN CAPE","12-17","Male","10743","3112","69047"
"NORTH WEST","12-17","Female","75353","19983","221385"
"NORTH WEST","12-17","Male","63031","14580","223092"
"WESTERN CAPE","12-17","Female","70268","25685","320269"
"WESTERN CAPE","12-17","Male","59462","21190","322848"
