"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","122277","24187","416942"
"EASTERN CAPE","12-17","Male","98424","16463","429096"
"FREE STATE","12-17","Female","82707","29732","161705"
"FREE STATE","12-17","Male","69504","21406","162847"
"GAUTENG","12-17","Female","195640","66544","649047"
"GAUTENG","12-17","Male","160263","51884","648920"
"KWAZULU-NATAL","12-17","Female","130661","32881","647510"
"KWAZULU-NATAL","12-17","Male","92431","22766","658202"
"LIMPOPO","12-17","Female","118919","31060","352420"
"LIMPOPO","12-17","Male","99172","23293","372427"
"MPUMALANGA","12-17","Female","61344","13982","257710"
"MPUMALANGA","12-17","Male","50755","10354","259479"
"NORTHERN CAPE","12-17","Female","13077","4023","69852"
"NORTHERN CAPE","12-17","Male","10664","2969","69047"
"NORTH WEST","12-17","Female","73572","18037","221385"
"NORTH WEST","12-17","Male","61747","13275","223092"
"WESTERN CAPE","12-17","Female","70142","25344","320269"
"WESTERN CAPE","12-17","Male","59358","20866","322848"
