"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","120789","22386","416942"
"EASTERN CAPE","12-17","Male","97298","15343","429096"
"FREE STATE","12-17","Female","82289","28592","161705"
"FREE STATE","12-17","Male","69105","20590","162847"
"GAUTENG","12-17","Female","195219","64102","649047"
"GAUTENG","12-17","Male","159887","49938","648920"
"KWAZULU-NATAL","12-17","Female","129276","30951","647510"
"KWAZULU-NATAL","12-17","Male","91636","21599","658202"
"LIMPOPO","12-17","Female","118232","29993","352420"
"LIMPOPO","12-17","Male","98513","22415","372427"
"MPUMALANGA","12-17","Female","60259","13070","257710"
"MPUMALANGA","12-17","Male","49417","9600","259479"
"NORTHERN CAPE","12-17","Female","13036","3851","69852"
"NORTHERN CAPE","12-17","Male","10660","2858","69047"
"NORTH WEST","12-17","Female","72756","17151","221385"
"NORTH WEST","12-17","Male","61065","12594","223092"
"WESTERN CAPE","12-17","Female","70161","24693","320269"
"WESTERN CAPE","12-17","Male","59351","20325","322848"
