"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","875057"
"eastern cape","Pfizer","1286828"
"free state","Johnson & Johnson","465665"
"free state","Pfizer","643959"
"gauteng","Johnson & Johnson","1442463"
"gauteng","Pfizer","3765322"
"kwazulu-natal","Johnson & Johnson","1167429"
"kwazulu-natal","Pfizer","1875843"
"limpopo","Johnson & Johnson","1034417"
"limpopo","Pfizer","1000428"
"mpumalanga","Johnson & Johnson","762960"
"mpumalanga","Pfizer","539667"
"northern cape","Johnson & Johnson","206269"
"northern cape","Pfizer","214849"
"north west","Johnson & Johnson","683585"
"north west","Pfizer","595800"
"western cape","Johnson & Johnson","720481"
"western cape","Pfizer","2068775"
