"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","878415"
"eastern cape","Pfizer","1289832"
"free state","Johnson & Johnson","467638"
"free state","Pfizer","645785"
"gauteng","Johnson & Johnson","1451511"
"gauteng","Pfizer","3776079"
"kwazulu-natal","Johnson & Johnson","1172735"
"kwazulu-natal","Pfizer","1881898"
"limpopo","Johnson & Johnson","1037584"
"limpopo","Pfizer","1002736"
"mpumalanga","Johnson & Johnson","767335"
"mpumalanga","Pfizer","541513"
"northern cape","Johnson & Johnson","206725"
"northern cape","Pfizer","215324"
"north west","Johnson & Johnson","686300"
"north west","Pfizer","597535"
"western cape","Johnson & Johnson","722650"
"western cape","Pfizer","2072599"
