"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","880316"
"eastern cape","Pfizer","1291658"
"free state","Johnson & Johnson","468729"
"free state","Pfizer","647045"
"gauteng","Johnson & Johnson","1456086"
"gauteng","Pfizer","3782169"
"kwazulu-natal","Johnson & Johnson","1176189"
"kwazulu-natal","Pfizer","1885983"
"limpopo","Johnson & Johnson","1039673"
"limpopo","Pfizer","1004178"
"mpumalanga","Johnson & Johnson","769401"
"mpumalanga","Pfizer","543027"
"northern cape","Johnson & Johnson","206978"
"northern cape","Pfizer","215647"
"north west","Johnson & Johnson","687677"
"north west","Pfizer","598597"
"western cape","Johnson & Johnson","723875"
"western cape","Pfizer","2074757"
