"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","123935","26554","416942"
"EASTERN CAPE","12-17","Male","99731","17928","429096"
"FREE STATE","12-17","Female","83455","30783","161705"
"FREE STATE","12-17","Male","70174","22237","162847"
"GAUTENG","12-17","Female","196837","68886","649047"
"GAUTENG","12-17","Male","161283","53528","648920"
"KWAZULU-NATAL","12-17","Female","132502","35876","647510"
"KWAZULU-NATAL","12-17","Male","93686","24441","658202"
"LIMPOPO","12-17","Female","119943","32073","352420"
"LIMPOPO","12-17","Male","100126","24081","372427"
"MPUMALANGA","12-17","Female","63268","15059","257710"
"MPUMALANGA","12-17","Male","52797","11166","259479"
"NORTHERN CAPE","12-17","Female","13129","4146","69852"
"NORTHERN CAPE","12-17","Male","10739","3107","69047"
"NORTH WEST","12-17","Female","75070","19539","221385"
"NORTH WEST","12-17","Male","62794","14340","223092"
"WESTERN CAPE","12-17","Female","70265","25635","320269"
"WESTERN CAPE","12-17","Male","59449","21131","322848"
