"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","874131"
"eastern cape","Pfizer","1285921"
"free state","Johnson & Johnson","465138"
"free state","Pfizer","643446"
"gauteng","Johnson & Johnson","1439738"
"gauteng","Pfizer","3761726"
"kwazulu-natal","Johnson & Johnson","1165565"
"kwazulu-natal","Pfizer","1873568"
"limpopo","Johnson & Johnson","1033467"
"limpopo","Pfizer","999655"
"mpumalanga","Johnson & Johnson","761666"
"mpumalanga","Pfizer","539136"
"northern cape","Johnson & Johnson","206124"
"northern cape","Pfizer","214667"
"north west","Johnson & Johnson","682615"
"north west","Pfizer","595167"
"western cape","Johnson & Johnson","719911"
"western cape","Pfizer","2067514"
