"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","874233"
"eastern cape","Pfizer","1286190"
"free state","Johnson & Johnson","465172"
"free state","Pfizer","643582"
"gauteng","Johnson & Johnson","1440617"
"gauteng","Pfizer","3762915"
"kwazulu-natal","Johnson & Johnson","1166043"
"kwazulu-natal","Pfizer","1874363"
"limpopo","Johnson & Johnson","1033618"
"limpopo","Pfizer","999913"
"mpumalanga","Johnson & Johnson","761948"
"mpumalanga","Pfizer","539289"
"northern cape","Johnson & Johnson","206184"
"northern cape","Pfizer","214739"
"north west","Johnson & Johnson","683036"
"north west","Pfizer","595385"
"western cape","Johnson & Johnson","720016"
"western cape","Pfizer","2067909"
