"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","878969"
"eastern cape","Pfizer","1290478"
"free state","Johnson & Johnson","467987"
"free state","Pfizer","646178"
"gauteng","Johnson & Johnson","1452919"
"gauteng","Pfizer","3778132"
"kwazulu-natal","Johnson & Johnson","1173944"
"kwazulu-natal","Pfizer","1883470"
"limpopo","Johnson & Johnson","1038167"
"limpopo","Pfizer","1003239"
"mpumalanga","Johnson & Johnson","767970"
"mpumalanga","Pfizer","541925"
"northern cape","Johnson & Johnson","206799"
"northern cape","Pfizer","215428"
"north west","Johnson & Johnson","686740"
"north west","Pfizer","597917"
"western cape","Johnson & Johnson","723066"
"western cape","Pfizer","2073376"
