"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","878346"
"eastern cape","Pfizer","1289692"
"free state","Johnson & Johnson","467612"
"free state","Pfizer","645704"
"gauteng","Johnson & Johnson","1451059"
"gauteng","Pfizer","3775238"
"kwazulu-natal","Johnson & Johnson","1172516"
"kwazulu-natal","Pfizer","1881495"
"limpopo","Johnson & Johnson","1037520"
"limpopo","Pfizer","1002531"
"mpumalanga","Johnson & Johnson","767251"
"mpumalanga","Pfizer","541361"
"northern cape","Johnson & Johnson","206716"
"northern cape","Pfizer","215289"
"north west","Johnson & Johnson","686141"
"north west","Pfizer","597405"
"western cape","Johnson & Johnson","722594"
"western cape","Pfizer","2072396"
