"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","120340","21597","416942"
"EASTERN CAPE","12-17","Male","96981","14837","429096"
"FREE STATE","12-17","Female","82021","27517","161705"
"FREE STATE","12-17","Male","68913","19856","162847"
"GAUTENG","12-17","Female","194471","61015","649047"
"GAUTENG","12-17","Male","159197","47808","648920"
"KWAZULU-NATAL","12-17","Female","128718","29860","647510"
"KWAZULU-NATAL","12-17","Male","91273","20916","658202"
"LIMPOPO","12-17","Female","117574","28906","352420"
"LIMPOPO","12-17","Male","97920","21640","372427"
"MPUMALANGA","12-17","Female","60002","12596","257710"
"MPUMALANGA","12-17","Male","48958","9192","259479"
"NORTHERN CAPE","12-17","Female","12989","3746","69852"
"NORTHERN CAPE","12-17","Male","10629","2779","69047"
"NORTH WEST","12-17","Female","72486","16641","221385"
"NORTH WEST","12-17","Male","60861","12293","223092"
"WESTERN CAPE","12-17","Female","69831","23950","320269"
"WESTERN CAPE","12-17","Male","59096","19633","322848"
