"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","120875","22818","416942"
"EASTERN CAPE","12-17","Male","97356","15604","429096"
"FREE STATE","12-17","Female","82356","29006","161705"
"FREE STATE","12-17","Male","69176","20853","162847"
"GAUTENG","12-17","Female","195341","65293","649047"
"GAUTENG","12-17","Male","160023","50924","648920"
"KWAZULU-NATAL","12-17","Female","129339","31553","647510"
"KWAZULU-NATAL","12-17","Male","91677","22007","658202"
"LIMPOPO","12-17","Female","118517","30570","352420"
"LIMPOPO","12-17","Male","98730","22845","372427"
"MPUMALANGA","12-17","Female","60289","13248","257710"
"MPUMALANGA","12-17","Male","49580","9752","259479"
"NORTHERN CAPE","12-17","Female","13033","3889","69852"
"NORTHERN CAPE","12-17","Male","10654","2887","69047"
"NORTH WEST","12-17","Female","72794","17324","221385"
"NORTH WEST","12-17","Male","61092","12735","223092"
"WESTERN CAPE","12-17","Female","70153","25028","320269"
"WESTERN CAPE","12-17","Male","59355","20633","322848"
