"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","883070"
"eastern cape","Pfizer","1294430"
"free state","Johnson & Johnson","470096"
"free state","Pfizer","648667"
"gauteng","Johnson & Johnson","1462970"
"gauteng","Pfizer","3790760"
"kwazulu-natal","Johnson & Johnson","1180335"
"kwazulu-natal","Pfizer","1891174"
"limpopo","Johnson & Johnson","1042895"
"limpopo","Pfizer","1006491"
"mpumalanga","Johnson & Johnson","774644"
"mpumalanga","Pfizer","545101"
"northern cape","Johnson & Johnson","207555"
"northern cape","Pfizer","216173"
"north west","Johnson & Johnson","689752"
"north west","Pfizer","600169"
"western cape","Johnson & Johnson","725959"
"western cape","Pfizer","2078076"
