"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","880976"
"eastern cape","Pfizer","1292267"
"free state","Johnson & Johnson","469108"
"free state","Pfizer","647415"
"gauteng","Johnson & Johnson","1457684"
"gauteng","Pfizer","3784209"
"kwazulu-natal","Johnson & Johnson","1177254"
"kwazulu-natal","Pfizer","1887251"
"limpopo","Johnson & Johnson","1040424"
"limpopo","Pfizer","1004641"
"mpumalanga","Johnson & Johnson","770489"
"mpumalanga","Pfizer","543498"
"northern cape","Johnson & Johnson","207074"
"northern cape","Pfizer","215751"
"north west","Johnson & Johnson","688165"
"north west","Pfizer","598961"
"western cape","Johnson & Johnson","724301"
"western cape","Pfizer","2075510"
