"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","120757","22423","416942"
"EASTERN CAPE","12-17","Male","97288","15373","429096"
"FREE STATE","12-17","Female","82270","28622","161705"
"FREE STATE","12-17","Male","69096","20610","162847"
"GAUTENG","12-17","Female","195253","64399","649047"
"GAUTENG","12-17","Male","159922","50200","648920"
"KWAZULU-NATAL","12-17","Female","129257","31043","647510"
"KWAZULU-NATAL","12-17","Male","91618","21696","658202"
"LIMPOPO","12-17","Female","118229","30036","352420"
"LIMPOPO","12-17","Male","98502","22443","372427"
"MPUMALANGA","12-17","Female","60248","13096","257710"
"MPUMALANGA","12-17","Male","49420","9617","259479"
"NORTHERN CAPE","12-17","Female","13032","3862","69852"
"NORTHERN CAPE","12-17","Male","10653","2863","69047"
"NORTH WEST","12-17","Female","72758","17191","221385"
"NORTH WEST","12-17","Male","61061","12620","223092"
"WESTERN CAPE","12-17","Female","70123","24729","320269"
"WESTERN CAPE","12-17","Male","59326","20362","322848"
