"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","119236","20192","416942"
"EASTERN CAPE","12-17","Male","96284","13954","429096"
"FREE STATE","12-17","Female","81606","25518","161705"
"FREE STATE","12-17","Male","68568","18513","162847"
"GAUTENG","12-17","Female","193352","56348","649047"
"GAUTENG","12-17","Male","158205","44666","648920"
"KWAZULU-NATAL","12-17","Female","127220","28013","647510"
"KWAZULU-NATAL","12-17","Male","90325","19856","658202"
"LIMPOPO","12-17","Female","116278","26697","352420"
"LIMPOPO","12-17","Male","96770","20020","372427"
"MPUMALANGA","12-17","Female","59490","11773","257710"
"MPUMALANGA","12-17","Male","48170","8584","259479"
"NORTHERN CAPE","12-17","Female","12928","3519","69852"
"NORTHERN CAPE","12-17","Male","10605","2654","69047"
"NORTH WEST","12-17","Female","72076","15784","221385"
"NORTH WEST","12-17","Male","60540","11739","223092"
"WESTERN CAPE","12-17","Female","69498","22949","320269"
"WESTERN CAPE","12-17","Male","58781","18758","322848"
