"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","877723"
"eastern cape","Pfizer","1289136"
"free state","Johnson & Johnson","467264"
"free state","Pfizer","645346"
"gauteng","Johnson & Johnson","1449202"
"gauteng","Pfizer","3773053"
"kwazulu-natal","Johnson & Johnson","1171360"
"kwazulu-natal","Pfizer","1880329"
"limpopo","Johnson & Johnson","1036995"
"limpopo","Pfizer","1002139"
"mpumalanga","Johnson & Johnson","766482"
"mpumalanga","Pfizer","540882"
"northern cape","Johnson & Johnson","206656"
"northern cape","Pfizer","215210"
"north west","Johnson & Johnson","685691"
"north west","Pfizer","597089"
"western cape","Johnson & Johnson","722119"
"western cape","Pfizer","2071613"
