"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","878433"
"eastern cape","Pfizer","1289932"
"free state","Johnson & Johnson","467638"
"free state","Pfizer","645830"
"gauteng","Johnson & Johnson","1451583"
"gauteng","Pfizer","3776318"
"kwazulu-natal","Johnson & Johnson","1172846"
"kwazulu-natal","Pfizer","1882079"
"limpopo","Johnson & Johnson","1037598"
"limpopo","Pfizer","1002828"
"mpumalanga","Johnson & Johnson","767352"
"mpumalanga","Pfizer","541559"
"northern cape","Johnson & Johnson","206727"
"northern cape","Pfizer","215336"
"north west","Johnson & Johnson","686399"
"north west","Pfizer","597609"
"western cape","Johnson & Johnson","722671"
"western cape","Pfizer","2072713"
