"province","age_group","sex","vaccination_date","total_number_individuals_vaccinated"
"Free State","35-49","Male","2021-06-18",18
"Free State","35-49","Male","2021-06-19",3
"Free State","35-49","Male","2021-06-20",3
"Free State","35-49","Male","2021-06-21",10
"Free State","35-49","Male","2021-06-22",18
"Free State","35-49","Male","2021-06-23",403
"Free State","35-49","Male","2021-06-24",425
"Free State","35-49","Male","2021-06-25",601
"Free State","35-49","Male","2021-06-26",19
"Free State","35-49","Male","2021-06-27",1
"Free State","35-49","Male","2021-06-28",301
"Free State","35-49","Male","2021-06-29",181
"Free State","35-49","Male","2021-06-30",418
"Free State","35-49","Male","2021-07-01",679
"Free State","35-49","Male","2021-07-02",495
"Free State","35-49","Male","2021-07-03",54
"Free State","35-49","Male","2021-07-04",1
"Free State","35-49","Male","2021-07-05",101
"Free State","35-49","Male","2021-07-06",97
"Free State","35-49","Male","2021-07-07",77
"Free State","35-49","Male","2021-07-08",156
"Free State","35-49","Male","2021-07-09",136
"Free State","35-49","Male","2021-07-10",83
"Free State","35-49","Male","2021-07-11",2
"Free State","35-49","Male","2021-07-12",172
"Free State","35-49","Male","2021-07-13",106
"Free State","35-49","Male","2021-07-14",201
"Free State","35-49","Male","2021-07-15",704
"Free State","35-49","Male","2021-07-16",967
"Free State","35-49","Male","2021-07-17",363
"Free State","35-49","Male","2021-07-18",201
"Free State","35-49","Male","2021-07-19",1587
"Free State","35-49","Male","2021-07-20",1524
"Free State","35-49","Male","2021-07-21",1937
"Free State","35-49","Male","2021-07-22",2025
"Free State","35-49","Male","2021-07-23",2025
"Free State","35-49","Male","2021-07-24",383
"Free State","35-49","Male","2021-07-25",181
"Free State","35-49","Male","2021-07-26",2151
"Free State","35-49","Male","2021-07-27",2448
"Free State","35-49","Male","2021-07-28",3291
"Free State","35-49","Male","2021-07-29",2668
"Free State","35-49","Male","2021-07-30",2546
"Free State","35-49","Male","2021-07-31",398
"Free State","35-49","Male","2021-08-01",235
"Free State","35-49","Male","2021-08-02",2048
"Free State","35-49","Male","2021-08-03",2013
"Free State","35-49","Male","2021-08-04",1916
"Free State","35-49","Male","2021-08-05",2054
"Free State","35-49","Male","2021-08-06",1957
"Free State","35-49","Male","2021-08-07",360
"Free State","35-49","Male","2021-08-08",192
"Free State","35-49","Male","2021-08-09",209
"Free State","35-49","Male","2021-08-10",1612
"Free State","35-49","Male","2021-08-11",1726
"Free State","35-49","Male","2021-08-12",1489
"Free State","35-49","Male","2021-08-13",1367
"Free State","35-49","Male","2021-08-14",210
"Free State","35-49","Male","2021-08-15",29
"Free State","35-49","Male","2021-08-16",1104
"Free State","35-49","Male","2021-08-17",1220
"Free State","35-49","Male","2021-08-18",1239
"Free State","35-49","Male","2021-08-19",1441
"Free State","35-49","Male","2021-08-20",1321
"Free State","35-49","Male","2021-08-21",200
"Free State","35-49","Male","2021-08-22",58
"Free State","35-49","Male","2021-08-23",1136
"Free State","35-49","Male","2021-08-24",1617
"Free State","35-49","Male","2021-08-25",1484
"Free State","35-49","Male","2021-08-26",1554
"Free State","35-49","Male","2021-08-27",1278
"Free State","35-49","Male","2021-08-28",224
"Free State","35-49","Male","2021-08-29",70
"Free State","35-49","Male","2021-08-30",1080
"Free State","35-49","Male","2021-08-31",1275
"Free State","35-49","Male","2021-09-01",1313
"Free State","35-49","Male","2021-09-02",1253
"Free State","35-49","Male","2021-09-03",1485
"Free State","35-49","Male","2021-09-04",248
"Free State","35-49","Male","2021-09-05",33
"Free State","35-49","Male","2021-09-06",981
"Free State","35-49","Male","2021-09-07",1114
"Free State","35-49","Male","2021-09-08",1294
"Free State","35-49","Male","2021-09-09",1418
"Free State","35-49","Male","2021-09-10",1595
"Free State","35-49","Male","2021-09-11",293
"Free State","35-49","Male","2021-09-12",31
"Free State","35-49","Male","2021-09-13",1153
"Free State","35-49","Male","2021-09-14",1596
"Free State","35-49","Male","2021-09-15",1684
"Free State","35-49","Male","2021-09-16",1634
"Free State","35-49","Male","2021-09-17",1616
"Free State","35-49","Male","2021-09-18",270
"Free State","35-49","Male","2021-09-19",36
"Free State","35-49","Male","2021-09-20",1296
"Free State","35-49","Male","2021-09-21",1297
"Free State","35-49","Male","2021-09-22",1292
"Free State","35-49","Male","2021-09-23",1452
"Free State","35-49","Male","2021-09-24",153
"Free State","35-49","Male","2021-09-25",219
"Free State","35-49","Male","2021-09-26",29
"Free State","35-49","Male","2021-09-27",950
"Free State","35-49","Male","2021-09-28",1271
"Free State","35-49","Male","2021-09-29",1109
"Free State","35-49","Male","2021-09-30",1153
"Free State","35-49","Male","2021-10-01",1360
"Free State","35-49","Male","2021-10-02",964
"Free State","35-49","Male","2021-10-03",438
"Free State","35-49","Male","2021-10-04",948
"Free State","35-49","Male","2021-10-05",1107
"Free State","35-49","Male","2021-10-06",1208
"Free State","35-49","Male","2021-10-07",1316
"Free State","35-49","Male","2021-10-08",1204
"Free State","35-49","Male","2021-10-09",213
"Free State","35-49","Male","2021-10-10",35
"Free State","35-49","Male","2021-10-11",922
"Free State","35-49","Male","2021-10-12",1358
"Free State","35-49","Male","2021-10-13",1404
"Free State","35-49","Male","2021-10-14",1460
"Free State","35-49","Male","2021-10-15",1356
"Free State","35-49","Male","2021-10-16",271
"Free State","35-49","Male","2021-10-17",8
"Free State","35-49","Male","2021-10-18",947
"Free State","35-49","Male","2021-10-19",1360
"Free State","35-49","Male","2021-10-20",1252
"Free State","35-49","Male","2021-10-21",1271
"Free State","35-49","Male","2021-10-22",948
"Free State","35-49","Male","2021-10-23",209
"Free State","35-49","Male","2021-10-24",38
"Free State","35-49","Male","2021-10-25",777
"Free State","35-49","Male","2021-10-26",818
"Free State","35-49","Male","2021-10-27",803
"Free State","35-49","Male","2021-10-28",778
"Free State","35-49","Male","2021-10-29",781
"Free State","35-49","Male","2021-10-30",184
"Free State","35-49","Male","2021-10-31",28
"Free State","35-49","Male","2021-11-01",225
"Free State","35-49","Male","2021-11-02",554
"Free State","35-49","Male","2021-11-03",689
"Free State","35-49","Male","2021-11-04",643
"Free State","35-49","Male","2021-11-05",572
"Free State","35-49","Male","2021-11-06",93
"Free State","35-49","Male","2021-11-07",6
"Free State","35-49","Male","2021-11-08",427
"Free State","35-49","Male","2021-11-09",541
"Free State","35-49","Male","2021-11-10",640
"Free State","35-49","Male","2021-11-11",574
"Free State","35-49","Male","2021-11-12",594
"Free State","35-49","Male","2021-11-13",406
"Free State","35-49","Male","2021-11-14",69
"Free State","35-49","Male","2021-11-15",489
"Free State","35-49","Male","2021-11-16",540
"Free State","35-49","Male","2021-11-17",614
"Free State","35-49","Male","2021-11-18",589
"Free State","35-49","Male","2021-11-19",446
"Free State","35-49","Male","2021-11-20",55
"Free State","35-49","Male","2021-11-21",6
"Free State","35-49","Male","2021-11-22",356
"Free State","35-49","Male","2021-11-23",445
"Free State","35-49","Male","2021-11-24",531
"Free State","35-49","Male","2021-11-25",436
"Free State","35-49","Male","2021-11-26",344
"Free State","35-49","Male","2021-11-27",67
"Free State","35-49","Male","2021-11-28",7
"Free State","35-49","Male","2021-11-29",661
"Free State","35-49","Male","2021-11-30",701
"Free State","35-49","Male","2021-12-01",664
"Free State","35-49","Male","2021-12-02",561
"Free State","35-49","Male","2021-12-03",518
"Free State","35-49","Male","2021-12-04",125
"Free State","35-49","Male","2021-12-05",33
"Free State","35-49","Male","2021-12-06",511
"Free State","35-49","Male","2021-12-07",479
"Free State","35-49","Male","2021-12-08",534
"Free State","35-49","Male","2021-12-09",454
"Free State","35-49","Male","2021-12-10",409
"Free State","35-49","Male","2021-12-11",30
"Free State","35-49","Male","2021-12-12",2
"Free State","35-49","Male","2021-12-13",316
"Free State","35-49","Male","2021-12-14",431
"Free State","35-49","Male","2021-12-15",323
"Free State","50-59","Female","2021-02-17",1
"Free State","50-59","Female","2021-02-18",33
"Free State","50-59","Female","2021-02-19",43
"Free State","50-59","Female","2021-02-22",107
"Free State","50-59","Female","2021-02-23",159
"Free State","50-59","Female","2021-02-24",177
"Free State","50-59","Female","2021-02-25",131
"Free State","50-59","Female","2021-02-26",100
"Free State","50-59","Female","2021-02-27",39
"Free State","50-59","Female","2021-02-28",36
"Free State","50-59","Female","2021-03-01",115
"Free State","50-59","Female","2021-03-02",123
"Free State","50-59","Female","2021-03-03",165
"Free State","50-59","Female","2021-03-04",133
"Free State","50-59","Female","2021-03-05",69
"Free State","50-59","Female","2021-03-06",14
"Free State","50-59","Female","2021-03-08",69
"Free State","50-59","Female","2021-03-09",161
"Free State","50-59","Female","2021-03-10",180
"Free State","50-59","Female","2021-03-11",86
"Free State","50-59","Female","2021-03-12",93
"Free State","50-59","Female","2021-03-15",121
"Free State","50-59","Female","2021-03-16",105
"Free State","50-59","Female","2021-03-17",131
"Free State","50-59","Female","2021-03-18",89
"Free State","50-59","Female","2021-03-19",88
"Free State","50-59","Female","2021-03-23",105
"Free State","50-59","Female","2021-03-24",164
"Free State","50-59","Female","2021-03-25",45
"Free State","50-59","Female","2021-03-26",48
"Free State","50-59","Female","2021-03-30",31
"Free State","50-59","Female","2021-03-31",91
"Free State","50-59","Female","2021-04-01",12
"Free State","50-59","Female","2021-04-06",9
"Free State","50-59","Female","2021-04-07",88
"Free State","50-59","Female","2021-04-08",81
"Free State","50-59","Female","2021-04-09",36
"Free State","50-59","Female","2021-04-12",2
"Free State","50-59","Female","2021-04-13",24
"Free State","50-59","Female","2021-04-28",22
"Free State","50-59","Female","2021-04-29",108
"Free State","50-59","Female","2021-04-30",139
"Free State","50-59","Female","2021-05-03",14
"Free State","50-59","Female","2021-05-04",53
"Free State","50-59","Female","2021-05-05",48
"Free State","50-59","Female","2021-05-06",19
"Free State","50-59","Female","2021-05-07",27
"Free State","50-59","Female","2021-05-10",53
"Free State","50-59","Female","2021-05-11",72
"Free State","50-59","Female","2021-05-12",167
"Free State","50-59","Female","2021-05-13",211
"Free State","50-59","Female","2021-05-14",102
"Free State","50-59","Female","2021-05-15",5
"Free State","50-59","Female","2021-05-18",1
"Free State","50-59","Female","2021-05-19",9
"Free State","50-59","Female","2021-05-21",59
"Free State","50-59","Female","2021-05-24",11
"Free State","50-59","Female","2021-05-25",49
"Free State","50-59","Female","2021-05-26",29
"Free State","50-59","Female","2021-05-27",33
"Free State","50-59","Female","2021-05-28",19
"Free State","50-59","Female","2021-05-30",2
"Free State","50-59","Female","2021-05-31",20
"Free State","50-59","Female","2021-06-01",30
"Free State","50-59","Female","2021-06-02",24
"Free State","50-59","Female","2021-06-03",66
"Free State","50-59","Female","2021-06-04",37
"Free State","50-59","Female","2021-06-05",12
"Free State","50-59","Female","2021-06-06",1
"Free State","50-59","Female","2021-06-07",51
"Free State","50-59","Female","2021-06-08",42
"Free State","50-59","Female","2021-06-09",30
"Free State","50-59","Female","2021-06-10",18
"Free State","50-59","Female","2021-06-11",17
"Free State","50-59","Female","2021-06-13",2
"Free State","50-59","Female","2021-06-14",10
"Free State","50-59","Female","2021-06-15",15
"Free State","50-59","Female","2021-06-16",2
"Free State","50-59","Female","2021-06-17",21
"Free State","50-59","Female","2021-06-18",22
"Free State","50-59","Female","2021-06-19",2
"Free State","50-59","Female","2021-06-20",5
"Free State","50-59","Female","2021-06-21",18
"Free State","50-59","Female","2021-06-22",18
"Free State","50-59","Female","2021-06-23",1388
"Free State","50-59","Female","2021-06-24",1097
"Free State","50-59","Female","2021-06-25",1382
"Free State","50-59","Female","2021-06-26",11
"Free State","50-59","Female","2021-06-27",1
"Free State","50-59","Female","2021-06-28",755
"Free State","50-59","Female","2021-06-29",374
"Free State","50-59","Female","2021-06-30",587
"Free State","50-59","Female","2021-07-01",612
"Free State","50-59","Female","2021-07-02",608
"Free State","50-59","Female","2021-07-03",50
"Free State","50-59","Female","2021-07-04",6
"Free State","50-59","Female","2021-07-05",1409
"Free State","50-59","Female","2021-07-06",1383
"Free State","50-59","Female","2021-07-07",1721
"Free State","50-59","Female","2021-07-08",1479
"Free State","50-59","Female","2021-07-09",1902
"Free State","50-59","Female","2021-07-10",201
"Free State","50-59","Female","2021-07-11",187
"Free State","50-59","Female","2021-07-12",2399
"Free State","50-59","Female","2021-07-13",2182
"Free State","50-59","Female","2021-07-14",1898
"Free State","50-59","Female","2021-07-15",2363
"Free State","50-59","Female","2021-07-16",1892
"Free State","50-59","Female","2021-07-17",169
"Free State","50-59","Female","2021-07-18",154
"Free State","50-59","Female","2021-07-19",1959
"Free State","50-59","Female","2021-07-20",2079
"Free State","50-59","Female","2021-07-21",2350
"Free State","50-59","Female","2021-07-22",1739
"Free State","50-59","Female","2021-07-23",1472
"Free State","50-59","Female","2021-07-24",149
"Free State","50-59","Female","2021-07-25",53
"Free State","50-59","Female","2021-07-26",1301
"Free State","50-59","Female","2021-07-27",1430
"Free State","50-59","Female","2021-07-28",1590
"Free State","50-59","Female","2021-07-29",1357
"Free State","50-59","Female","2021-07-30",1118
"Free State","50-59","Female","2021-07-31",81
"Free State","50-59","Female","2021-08-01",49
"Free State","50-59","Female","2021-08-02",867
"Free State","50-59","Female","2021-08-03",1054
"Free State","50-59","Female","2021-08-04",957
"Free State","50-59","Female","2021-08-05",948
"Free State","50-59","Female","2021-08-06",920
"Free State","50-59","Female","2021-08-07",91
"Free State","50-59","Female","2021-08-08",52
"Free State","50-59","Female","2021-08-09",92
"Free State","50-59","Female","2021-08-10",820
"Free State","50-59","Female","2021-08-11",935
"Free State","50-59","Female","2021-08-12",903
"Free State","50-59","Female","2021-08-13",672
"Free State","50-59","Female","2021-08-14",39
"Free State","50-59","Female","2021-08-15",7
"Free State","50-59","Female","2021-08-16",577
"Free State","50-59","Female","2021-08-17",732
"Free State","50-59","Female","2021-08-18",760
"Free State","50-59","Female","2021-08-19",723
"Free State","50-59","Female","2021-08-20",640
"Free State","50-59","Female","2021-08-21",42
"Free State","50-59","Female","2021-08-22",16
"Free State","50-59","Female","2021-08-23",522
"Free State","50-59","Female","2021-08-24",681
"Free State","50-59","Female","2021-08-25",713
"Free State","50-59","Female","2021-08-26",668
"Free State","50-59","Female","2021-08-27",555
"Free State","50-59","Female","2021-08-28",56
"Free State","50-59","Female","2021-08-29",4
"Free State","50-59","Female","2021-08-30",507
"Free State","50-59","Female","2021-08-31",522
"Free State","50-59","Female","2021-09-01",606
"Free State","50-59","Female","2021-09-02",538
"Free State","50-59","Female","2021-09-03",568
"Free State","50-59","Female","2021-09-04",130
"Free State","50-59","Female","2021-09-05",11
"Free State","50-59","Female","2021-09-06",416
"Free State","50-59","Female","2021-09-07",504
"Free State","50-59","Female","2021-09-08",567
"Free State","50-59","Female","2021-09-09",607
"Free State","50-59","Female","2021-09-10",572
"Free State","50-59","Female","2021-09-11",63
"Free State","50-59","Female","2021-09-12",7
"Free State","50-59","Female","2021-09-13",565
"Free State","50-59","Female","2021-09-14",809
"Free State","50-59","Female","2021-09-15",753
"Free State","50-59","Female","2021-09-16",736
"Free State","50-59","Female","2021-09-17",676
"Free State","50-59","Female","2021-09-18",110
"Free State","50-59","Female","2021-09-19",19
"Free State","50-59","Female","2021-09-20",479
"Free State","50-59","Female","2021-09-21",581
"Free State","50-59","Female","2021-09-22",645
"Free State","50-59","Female","2021-09-23",638
"Free State","50-59","Female","2021-09-24",51
"Free State","50-59","Female","2021-09-25",87
"Free State","50-59","Female","2021-09-26",9
"Free State","50-59","Female","2021-09-27",443
"Free State","50-59","Female","2021-09-28",517
"Free State","50-59","Female","2021-09-29",546
"Free State","50-59","Female","2021-09-30",469
"Free State","50-59","Female","2021-10-01",536
"Free State","50-59","Female","2021-10-02",468
"Free State","50-59","Female","2021-10-03",208
"Free State","50-59","Female","2021-10-04",462
"Free State","50-59","Female","2021-10-05",509
"Free State","50-59","Female","2021-10-06",614
"Free State","50-59","Female","2021-10-07",589
"Free State","50-59","Female","2021-10-08",509
"Free State","50-59","Female","2021-10-09",84
"Free State","50-59","Female","2021-10-10",7
"Free State","50-59","Female","2021-10-11",428
"Free State","50-59","Female","2021-10-12",659
"Free State","50-59","Female","2021-10-13",621
"Free State","50-59","Female","2021-10-14",678
"Free State","50-59","Female","2021-10-15",571
"Free State","50-59","Female","2021-10-16",114
"Free State","50-59","Female","2021-10-17",2
"Free State","50-59","Female","2021-10-18",438
"Free State","50-59","Female","2021-10-19",572
"Free State","50-59","Female","2021-10-20",660
"Free State","50-59","Female","2021-10-21",587
"Free State","50-59","Female","2021-10-22",374
"Free State","50-59","Female","2021-10-23",92
"Free State","50-59","Female","2021-10-24",25
"Free State","50-59","Female","2021-10-25",356
"Free State","50-59","Female","2021-10-26",423
"Free State","50-59","Female","2021-10-27",399
"Free State","50-59","Female","2021-10-28",302
"Free State","50-59","Female","2021-10-29",329
"Free State","50-59","Female","2021-10-30",79
"Free State","50-59","Female","2021-10-31",17
"Free State","50-59","Female","2021-11-01",126
"Free State","50-59","Female","2021-11-02",272
"Free State","50-59","Female","2021-11-03",357
"Free State","50-59","Female","2021-11-04",332
"Free State","50-59","Female","2021-11-05",245
"Free State","50-59","Female","2021-11-06",42
"Free State","50-59","Female","2021-11-07",8
"Free State","50-59","Female","2021-11-08",151
"Free State","50-59","Female","2021-11-09",260
"Free State","50-59","Female","2021-11-10",302
"Free State","50-59","Female","2021-11-11",265
"Free State","50-59","Female","2021-11-12",303
"Free State","50-59","Female","2021-11-13",224
"Free State","50-59","Female","2021-11-14",25
"Free State","50-59","Female","2021-11-15",231
"Free State","50-59","Female","2021-11-16",300
"Free State","50-59","Female","2021-11-17",329
"Free State","50-59","Female","2021-11-18",247
"Free State","50-59","Female","2021-11-19",231
"Free State","50-59","Female","2021-11-20",16
"Free State","50-59","Female","2021-11-21",3
"Free State","50-59","Female","2021-11-22",171
"Free State","50-59","Female","2021-11-23",223
"Free State","50-59","Female","2021-11-24",241
"Free State","50-59","Female","2021-11-25",252
"Free State","50-59","Female","2021-11-26",124
"Free State","50-59","Female","2021-11-27",24
"Free State","50-59","Female","2021-11-28",1
"Free State","50-59","Female","2021-11-29",341
"Free State","50-59","Female","2021-11-30",382
"Free State","50-59","Female","2021-12-01",329
"Free State","50-59","Female","2021-12-02",263
"Free State","50-59","Female","2021-12-03",270
"Free State","50-59","Female","2021-12-04",44
"Free State","50-59","Female","2021-12-05",10
"Free State","50-59","Female","2021-12-06",231
"Free State","50-59","Female","2021-12-07",251
"Free State","50-59","Female","2021-12-08",232
"Free State","50-59","Female","2021-12-09",211
"Free State","50-59","Female","2021-12-10",165
"Free State","50-59","Female","2021-12-11",10
"Free State","50-59","Female","2021-12-12",0
"Free State","50-59","Female","2021-12-13",146
"Free State","50-59","Female","2021-12-14",152
"Free State","50-59","Female","2021-12-15",133
"Free State","50-59","Male","2021-02-17",1
"Free State","50-59","Male","2021-02-18",19
"Free State","50-59","Male","2021-02-19",25
"Free State","50-59","Male","2021-02-22",47
"Free State","50-59","Male","2021-02-23",48
"Free State","50-59","Male","2021-02-24",29
"Free State","50-59","Male","2021-02-25",37
"Free State","50-59","Male","2021-02-26",29
"Free State","50-59","Male","2021-02-27",12
"Free State","50-59","Male","2021-02-28",23
"Free State","50-59","Male","2021-03-01",29
"Free State","50-59","Male","2021-03-02",25
"Free State","50-59","Male","2021-03-03",31
"Free State","50-59","Male","2021-03-04",41
"Free State","50-59","Male","2021-03-05",23
"Free State","50-59","Male","2021-03-06",8
"Free State","50-59","Male","2021-03-08",12
"Free State","50-59","Male","2021-03-09",45
"Free State","50-59","Male","2021-03-10",51
"Free State","50-59","Male","2021-03-11",18
"Free State","50-59","Male","2021-03-12",19
"Free State","50-59","Male","2021-03-15",25
"Free State","50-59","Male","2021-03-16",20
"Free State","50-59","Male","2021-03-17",37
"Free State","50-59","Male","2021-03-18",18
"Free State","50-59","Male","2021-03-19",26
"Free State","50-59","Male","2021-03-23",37
"Free State","50-59","Male","2021-03-24",51
"Free State","50-59","Male","2021-03-25",14
"Free State","50-59","Male","2021-03-26",24
"Free State","50-59","Male","2021-03-30",11
"Free State","50-59","Male","2021-03-31",23
"Free State","50-59","Male","2021-04-01",2
"Free State","50-59","Male","2021-04-06",4
"Free State","50-59","Male","2021-04-07",38
"Free State","50-59","Male","2021-04-08",36
"Free State","50-59","Male","2021-04-09",16
"Free State","50-59","Male","2021-04-12",2
"Free State","50-59","Male","2021-04-13",7
"Free State","50-59","Male","2021-04-28",5
"Free State","50-59","Male","2021-04-29",29
"Free State","50-59","Male","2021-04-30",33
"Free State","50-59","Male","2021-05-03",2
"Free State","50-59","Male","2021-05-04",29
"Free State","50-59","Male","2021-05-05",20
"Free State","50-59","Male","2021-05-06",6
"Free State","50-59","Male","2021-05-07",7
"Free State","50-59","Male","2021-05-10",46
"Free State","50-59","Male","2021-05-11",43
"Free State","50-59","Male","2021-05-12",77
"Free State","50-59","Male","2021-05-13",91
"Free State","50-59","Male","2021-05-14",43
"Free State","50-59","Male","2021-05-15",1
"Free State","50-59","Male","2021-05-18",1
"Free State","50-59","Male","2021-05-19",1
"Free State","50-59","Male","2021-05-21",28
"Free State","50-59","Male","2021-05-24",6
"Free State","50-59","Male","2021-05-25",11
"Free State","50-59","Male","2021-05-26",17
"Free State","50-59","Male","2021-05-27",15
"Free State","50-59","Male","2021-05-28",6
"Free State","50-59","Male","2021-05-31",9
"Free State","50-59","Male","2021-06-01",12
"Free State","50-59","Male","2021-06-02",1
"Free State","50-59","Male","2021-06-03",27
"Free State","50-59","Male","2021-06-04",23
"Free State","50-59","Male","2021-06-05",3
"Free State","50-59","Male","2021-06-07",22
"Free State","50-59","Male","2021-06-08",14
"Free State","50-59","Male","2021-06-09",6
"Free State","50-59","Male","2021-06-10",12
"Free State","50-59","Male","2021-06-11",6
"Free State","50-59","Male","2021-06-13",1
"Free State","50-59","Male","2021-06-14",6
"Free State","50-59","Male","2021-06-15",1
"Free State","50-59","Male","2021-06-16",1
"Free State","50-59","Male","2021-06-17",1
"Free State","50-59","Male","2021-06-18",15
"Free State","50-59","Male","2021-06-19",1
"Free State","50-59","Male","2021-06-20",1
"Free State","50-59","Male","2021-06-21",13
"Free State","50-59","Male","2021-06-22",17
"Free State","50-59","Male","2021-06-23",729
"Free State","50-59","Male","2021-06-24",569
"Free State","50-59","Male","2021-06-25",749
"Free State","50-59","Male","2021-06-26",127
"Free State","50-59","Male","2021-06-28",418
"Free State","50-59","Male","2021-06-29",229
"Free State","50-59","Male","2021-06-30",374
"Free State","50-59","Male","2021-07-01",406
"Free State","50-59","Male","2021-07-02",490
"Free State","50-59","Male","2021-07-03",77
"Free State","50-59","Male","2021-07-04",4
"Free State","50-59","Male","2021-07-05",1248
"Free State","50-59","Male","2021-07-06",1244
"Free State","50-59","Male","2021-07-07",1270
"Free State","50-59","Male","2021-07-08",1102
"Free State","50-59","Male","2021-07-09",1323
"Free State","50-59","Male","2021-07-10",232
"Free State","50-59","Male","2021-07-11",171
"Free State","50-59","Male","2021-07-12",1737
"Free State","50-59","Male","2021-07-13",1548
"Free State","50-59","Male","2021-07-14",1387
"Free State","50-59","Male","2021-07-15",1483
"Free State","50-59","Male","2021-07-16",1594
"Free State","50-59","Male","2021-07-17",335
"Free State","50-59","Male","2021-07-18",140
"Free State","50-59","Male","2021-07-19",1547
"Free State","50-59","Male","2021-07-20",1537
"Free State","50-59","Male","2021-07-21",1656
"Free State","50-59","Male","2021-07-22",1291
"Free State","50-59","Male","2021-07-23",1238
"Free State","50-59","Male","2021-07-24",173
"Free State","50-59","Male","2021-07-25",53
"Free State","50-59","Male","2021-07-26",1127
"Free State","50-59","Male","2021-07-27",1111
"Free State","50-59","Male","2021-07-28",1257
"Free State","50-59","Male","2021-07-29",1060
"Free State","50-59","Male","2021-07-30",1020
"Free State","50-59","Male","2021-07-31",119
"Free State","50-59","Male","2021-08-01",46
"Free State","50-59","Male","2021-08-02",733
"Free State","50-59","Male","2021-08-03",769
"Free State","50-59","Male","2021-08-04",695
"Free State","50-59","Male","2021-08-05",780
"Free State","50-59","Male","2021-08-06",787
"Free State","50-59","Male","2021-08-07",102
"Free State","50-59","Male","2021-08-08",54
"Free State","50-59","Male","2021-08-09",93
"Free State","50-59","Male","2021-08-10",645
"Free State","50-59","Male","2021-08-11",717
"Free State","50-59","Male","2021-08-12",716
"Free State","50-59","Male","2021-08-13",617
"Free State","50-59","Male","2021-08-14",84
"Free State","50-59","Male","2021-08-15",3
"Free State","50-59","Male","2021-08-16",555
"Free State","50-59","Male","2021-08-17",655
"Free State","50-59","Male","2021-08-18",588
"Free State","50-59","Male","2021-08-19",607
"Free State","50-59","Male","2021-08-20",530
"Free State","50-59","Male","2021-08-21",50
"Free State","50-59","Male","2021-08-22",15
"Free State","50-59","Male","2021-08-23",484
"Free State","50-59","Male","2021-08-24",621
"Free State","50-59","Male","2021-08-25",632
"Free State","50-59","Male","2021-08-26",618
"Free State","50-59","Male","2021-08-27",510
"Free State","50-59","Male","2021-08-28",75
"Free State","50-59","Male","2021-08-29",15
"Free State","50-59","Male","2021-08-30",437
"Free State","50-59","Male","2021-08-31",498
"Free State","50-59","Male","2021-09-01",507
"Free State","50-59","Male","2021-09-02",485
"Free State","50-59","Male","2021-09-03",621
"Free State","50-59","Male","2021-09-04",121
"Free State","50-59","Male","2021-09-05",18
"Free State","50-59","Male","2021-09-06",386
"Free State","50-59","Male","2021-09-07",460
"Free State","50-59","Male","2021-09-08",503
"Free State","50-59","Male","2021-09-09",475
"Free State","50-59","Male","2021-09-10",604
"Free State","50-59","Male","2021-09-11",103
"Free State","50-59","Male","2021-09-12",8
"Free State","50-59","Male","2021-09-13",479
"Free State","50-59","Male","2021-09-14",613
"Free State","50-59","Male","2021-09-15",670
"Free State","50-59","Male","2021-09-16",615
"Free State","50-59","Male","2021-09-17",574
"Free State","50-59","Male","2021-09-18",90
"Free State","50-59","Male","2021-09-19",16
"Free State","50-59","Male","2021-09-20",504
"Free State","50-59","Male","2021-09-21",501
"Free State","50-59","Male","2021-09-22",562
"Free State","50-59","Male","2021-09-23",511
"Free State","50-59","Male","2021-09-24",56
"Free State","50-59","Male","2021-09-25",81
"Free State","50-59","Male","2021-09-26",16
"Free State","50-59","Male","2021-09-27",326
"Free State","50-59","Male","2021-09-28",420
"Free State","50-59","Male","2021-09-29",451
"Free State","50-59","Male","2021-09-30",420
"Free State","50-59","Male","2021-10-01",523
"Free State","50-59","Male","2021-10-02",418
"Free State","50-59","Male","2021-10-03",136
"Free State","50-59","Male","2021-10-04",362
"Free State","50-59","Male","2021-10-05",398
"Free State","50-59","Male","2021-10-06",431
"Free State","50-59","Male","2021-10-07",449
"Free State","50-59","Male","2021-10-08",416
"Free State","50-59","Male","2021-10-09",67
"Free State","50-59","Male","2021-10-10",2
"Free State","50-59","Male","2021-10-11",329
"Free State","50-59","Male","2021-10-12",459
"Free State","50-59","Male","2021-10-13",449
"Free State","50-59","Male","2021-10-14",446
"Free State","50-59","Male","2021-10-15",482
"Free State","50-59","Male","2021-10-16",89
"Free State","50-59","Male","2021-10-17",2
"Free State","50-59","Male","2021-10-18",262
"Free State","50-59","Male","2021-10-19",408
"Free State","50-59","Male","2021-10-20",443
"Free State","50-59","Male","2021-10-21",416
"Free State","50-59","Male","2021-10-22",316
"Free State","50-59","Male","2021-10-23",71
"Free State","50-59","Male","2021-10-24",21
"Free State","50-59","Male","2021-10-25",267
"Free State","50-59","Male","2021-10-26",241
"Free State","50-59","Male","2021-10-27",278
"Free State","50-59","Male","2021-10-28",297
"Free State","50-59","Male","2021-10-29",230
"Free State","50-59","Male","2021-10-30",50
"Free State","50-59","Male","2021-10-31",11
"Free State","50-59","Male","2021-11-01",94
"Free State","50-59","Male","2021-11-02",181
"Free State","50-59","Male","2021-11-03",244
"Free State","50-59","Male","2021-11-04",184
"Free State","50-59","Male","2021-11-05",185
"Free State","50-59","Male","2021-11-06",32
"Free State","50-59","Male","2021-11-07",3
