"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","123340","25818","416942"
"EASTERN CAPE","12-17","Male","99323","17549","429096"
"FREE STATE","12-17","Female","83192","30443","161705"
"FREE STATE","12-17","Male","69943","22023","162847"
"GAUTENG","12-17","Female","196220","67953","649047"
"GAUTENG","12-17","Male","160840","52922","648920"
"KWAZULU-NATAL","12-17","Female","132051","35106","647510"
"KWAZULU-NATAL","12-17","Male","93432","24011","658202"
"LIMPOPO","12-17","Female","119464","31580","352420"
"LIMPOPO","12-17","Male","99708","23710","372427"
"MPUMALANGA","12-17","Female","62399","14642","257710"
"MPUMALANGA","12-17","Male","51972","10856","259479"
"NORTHERN CAPE","12-17","Female","13131","4140","69852"
"NORTHERN CAPE","12-17","Male","10722","3097","69047"
"NORTH WEST","12-17","Female","74689","19061","221385"
"NORTH WEST","12-17","Male","62504","14010","223092"
"WESTERN CAPE","12-17","Female","70180","25583","320269"
"WESTERN CAPE","12-17","Male","59401","21086","322848"
