"province","age_group","sex","total_number_individuals_vaccinated","population"
"EASTERN CAPE","18-34","Female","361327","839479"
"EASTERN CAPE","18-34","Male","268285","854468"
"EASTERN CAPE","35-49","Female","357523","586430"
"EASTERN CAPE","35-49","Male","239704","522727"
"EASTERN CAPE","50-59","Female","231219","320585"
"EASTERN CAPE","50-59","Male","144024","196960"
"EASTERN CAPE","60+","Female","348562","517296"
"EASTERN CAPE","60+","Male","208972","261598"
"EASTERN CAPE","Unidentified","Female","332",""
"EASTERN CAPE","Unidentified","Male","104",""
"FREE STATE","18-34","Female","215671","410210"
"FREE STATE","18-34","Male","162741","419145"
"FREE STATE","35-49","Female","185926","283918"
"FREE STATE","35-49","Male","152081","266941"
"FREE STATE","50-59","Female","102007","140470"
"FREE STATE","50-59","Male","78711","105617"
"FREE STATE","60+","Female","130023","178195"
"FREE STATE","60+","Male","81252","110025"
"FREE STATE","Unidentified","Female","100",""
"FREE STATE","Unidentified","Male","72",""
"GAUTENG","18-34","Female","931793","2584852"
"GAUTENG","18-34","Male","782395","2611302"
"GAUTENG","35-49","Female","953032","1659380"
"GAUTENG","35-49","Male","885426","1782603"
"GAUTENG","50-59","Female","423318","675158"
"GAUTENG","50-59","Male","400417","655342"
"GAUTENG","60+","Female","468471","745260"
"GAUTENG","60+","Male","356083","597429"
"GAUTENG","Unidentified","Female","326",""
"GAUTENG","Unidentified","Male","203",""
"KWAZULU-NATAL","18-34","Female","568676","1707989"
"KWAZULU-NATAL","18-34","Male","391952","1725158"
"KWAZULU-NATAL","35-49","Female","542140","1071255"
"KWAZULU-NATAL","35-49","Male","386593","951364"
"KWAZULU-NATAL","50-59","Female","290718","492136"
"KWAZULU-NATAL","50-59","Male","193551","316845"
"KWAZULU-NATAL","60+","Female","424901","624115"
"KWAZULU-NATAL","60+","Male","240063","330933"
"KWAZULU-NATAL","Unidentified","Female","391",""
"KWAZULU-NATAL","Unidentified","Male","148",""
"LIMPOPO","18-34","Female","401845","818804"
"LIMPOPO","18-34","Male","266880","833104"
"LIMPOPO","35-49","Female","360670","573264"
"LIMPOPO","35-49","Male","236081","493423"
"LIMPOPO","50-59","Female","194070","265501"
"LIMPOPO","50-59","Male","129289","165831"
"LIMPOPO","60+","Female","281946","372555"
"LIMPOPO","60+","Male","161574","173319"
"LIMPOPO","Unidentified","Female","656",""
"LIMPOPO","Unidentified","Male","111",""
"MPUMALANGA","18-34","Female","248836","681710"
"MPUMALANGA","18-34","Male","202214","729028"
"MPUMALANGA","35-49","Female","223855","451254"
"MPUMALANGA","35-49","Male","192328","457785"
"MPUMALANGA","50-59","Female","111660","197794"
"MPUMALANGA","50-59","Male","89625","151183"
"MPUMALANGA","60+","Female","135241","224305"
"MPUMALANGA","60+","Male","96794","146461"
"MPUMALANGA","Unidentified","Female","172",""
"MPUMALANGA","Unidentified","Male","77",""
"NORTHERN CAPE","18-34","Female","72790","174695"
"NORTHERN CAPE","18-34","Male","69160","182300"
"NORTHERN CAPE","35-49","Female","66100","118328"
"NORTHERN CAPE","35-49","Male","69269","131923"
"NORTHERN CAPE","50-59","Female","35821","57823"
"NORTHERN CAPE","50-59","Male","32994","49198"
"NORTHERN CAPE","60+","Female","42883","80820"
"NORTHERN CAPE","60+","Male","31738","52458"
"NORTHERN CAPE","Unidentified","Female","26",""
"NORTHERN CAPE","Unidentified","Male","10",""
"NORTH WEST","18-34","Female","229202","547199"
"NORTH WEST","18-34","Male","188280","611287"
"NORTH WEST","35-49","Female","206785","386831"
"NORTH WEST","35-49","Male","206212","437698"
"NORTH WEST","50-59","Female","105542","173790"
"NORTH WEST","50-59","Male","104113","168889"
"NORTH WEST","60+","Female","135791","213393"
"NORTH WEST","60+","Male","101596","154160"
"NORTH WEST","Unidentified","Female","139",""
"NORTH WEST","Unidentified","Male","122",""
"WESTERN CAPE","18-34","Female","506747","1010156"
"WESTERN CAPE","18-34","Male","434564","1047625"
"WESTERN CAPE","35-49","Female","463807","744325"
"WESTERN CAPE","35-49","Male","405316","767488"
"WESTERN CAPE","50-59","Female","238434","368383"
"WESTERN CAPE","50-59","Male","205110","315766"
"WESTERN CAPE","60+","Female","306382","422288"
"WESTERN CAPE","60+","Male","226851","300872"
"WESTERN CAPE","Unidentified","Female","132",""
"WESTERN CAPE","Unidentified","Male","82",""
