"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","119283","20174","416942"
"EASTERN CAPE","12-17","Male","96320","13955","429096"
"FREE STATE","12-17","Female","81633","25525","161705"
"FREE STATE","12-17","Male","68582","18518","162847"
"GAUTENG","12-17","Female","193388","56286","649047"
"GAUTENG","12-17","Male","158234","44627","648920"
"KWAZULU-NATAL","12-17","Female","127211","27971","647510"
"KWAZULU-NATAL","12-17","Male","90305","19833","658202"
"LIMPOPO","12-17","Female","116326","26706","352420"
"LIMPOPO","12-17","Male","96805","20027","372427"
"MPUMALANGA","12-17","Female","59505","11758","257710"
"MPUMALANGA","12-17","Male","48175","8572","259479"
"NORTHERN CAPE","12-17","Female","12934","3518","69852"
"NORTHERN CAPE","12-17","Male","10604","2652","69047"
"NORTH WEST","12-17","Female","72083","15749","221385"
"NORTH WEST","12-17","Male","60537","11697","223092"
"WESTERN CAPE","12-17","Female","69532","22958","320269"
"WESTERN CAPE","12-17","Male","58801","18760","322848"
