"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","881848"
"eastern cape","Pfizer","1293155"
"free state","Johnson & Johnson","469506"
"free state","Pfizer","647871"
"gauteng","Johnson & Johnson","1459923"
"gauteng","Pfizer","3786940"
"kwazulu-natal","Johnson & Johnson","1178744"
"kwazulu-natal","Pfizer","1889205"
"limpopo","Johnson & Johnson","1041211"
"limpopo","Pfizer","1005280"
"mpumalanga","Johnson & Johnson","772183"
"mpumalanga","Pfizer","544119"
"northern cape","Johnson & Johnson","207333"
"northern cape","Pfizer","215993"
"north west","Johnson & Johnson","688846"
"north west","Pfizer","599493"
"western cape","Johnson & Johnson","724980"
"western cape","Pfizer","2076561"
