"province","age_group","sex","total_number_individuals_vaccinated","population"
"EASTERN CAPE","18-34","Female","361383","839479"
"EASTERN CAPE","18-34","Male","268316","854468"
"EASTERN CAPE","35-49","Female","357527","586430"
"EASTERN CAPE","35-49","Male","239730","522727"
"EASTERN CAPE","50-59","Female","231241","320585"
"EASTERN CAPE","50-59","Male","144039","196960"
"EASTERN CAPE","60+","Female","348610","517296"
"EASTERN CAPE","60+","Male","209004","261598"
"EASTERN CAPE","Unidentified","Female","331",""
"EASTERN CAPE","Unidentified","Male","104",""
"FREE STATE","18-34","Female","215695","410210"
"FREE STATE","18-34","Male","162750","419145"
"FREE STATE","35-49","Female","185936","283918"
"FREE STATE","35-49","Male","152101","266941"
"FREE STATE","50-59","Female","102011","140470"
"FREE STATE","50-59","Male","78720","105617"
"FREE STATE","60+","Female","130051","178195"
"FREE STATE","60+","Male","81266","110025"
"FREE STATE","Unidentified","Female","100",""
"FREE STATE","Unidentified","Male","72",""
"GAUTENG","18-34","Female","932130","2584852"
"GAUTENG","18-34","Male","782711","2611302"
"GAUTENG","35-49","Female","953289","1659380"
"GAUTENG","35-49","Male","885654","1782603"
"GAUTENG","50-59","Female","423412","675158"
"GAUTENG","50-59","Male","400519","655342"
"GAUTENG","60+","Female","468596","745260"
"GAUTENG","60+","Male","356192","597429"
"GAUTENG","Unidentified","Female","325",""
"GAUTENG","Unidentified","Male","202",""
"KWAZULU-NATAL","18-34","Female","568908","1707989"
"KWAZULU-NATAL","18-34","Male","392181","1725158"
"KWAZULU-NATAL","35-49","Female","542280","1071255"
"KWAZULU-NATAL","35-49","Male","386714","951364"
"KWAZULU-NATAL","50-59","Female","290754","492136"
"KWAZULU-NATAL","50-59","Male","193603","316845"
"KWAZULU-NATAL","60+","Female","424974","624115"
"KWAZULU-NATAL","60+","Male","240122","330933"
"KWAZULU-NATAL","Unidentified","Female","391",""
"KWAZULU-NATAL","Unidentified","Male","148",""
"LIMPOPO","18-34","Female","401883","818804"
"LIMPOPO","18-34","Male","266938","833104"
"LIMPOPO","35-49","Female","360707","573264"
"LIMPOPO","35-49","Male","236146","493423"
"LIMPOPO","50-59","Female","194079","265501"
"LIMPOPO","50-59","Male","129306","165831"
"LIMPOPO","60+","Female","281994","372555"
"LIMPOPO","60+","Male","161601","173319"
"LIMPOPO","Unidentified","Female","656",""
"LIMPOPO","Unidentified","Male","111",""
"MPUMALANGA","18-34","Female","248869","681710"
"MPUMALANGA","18-34","Male","202303","729028"
"MPUMALANGA","35-49","Female","223896","451254"
"MPUMALANGA","35-49","Male","192386","457785"
"MPUMALANGA","50-59","Female","111682","197794"
"MPUMALANGA","50-59","Male","89640","151183"
"MPUMALANGA","60+","Female","135263","224305"
"MPUMALANGA","60+","Male","96824","146461"
"MPUMALANGA","Unidentified","Female","171",""
"MPUMALANGA","Unidentified","Male","77",""
"NORTHERN CAPE","18-34","Female","72801","174695"
"NORTHERN CAPE","18-34","Male","69168","182300"
"NORTHERN CAPE","35-49","Female","66126","118328"
"NORTHERN CAPE","35-49","Male","69280","131923"
"NORTHERN CAPE","50-59","Female","35819","57823"
"NORTHERN CAPE","50-59","Male","33001","49198"
"NORTHERN CAPE","60+","Female","42893","80820"
"NORTHERN CAPE","60+","Male","31741","52458"
"NORTHERN CAPE","Unidentified","Female","25",""
"NORTHERN CAPE","Unidentified","Male","10",""
"NORTH WEST","18-34","Female","229270","547199"
"NORTH WEST","18-34","Male","188332","611287"
"NORTH WEST","35-49","Female","206833","386831"
"NORTH WEST","35-49","Male","206281","437698"
"NORTH WEST","50-59","Female","105569","173790"
"NORTH WEST","50-59","Male","104139","168889"
"NORTH WEST","60+","Female","135817","213393"
"NORTH WEST","60+","Male","101623","154160"
"NORTH WEST","Unidentified","Female","138",""
"NORTH WEST","Unidentified","Male","122",""
"WESTERN CAPE","18-34","Female","506790","1010156"
"WESTERN CAPE","18-34","Male","434603","1047625"
"WESTERN CAPE","35-49","Female","463852","744325"
"WESTERN CAPE","35-49","Male","405374","767488"
"WESTERN CAPE","50-59","Female","238467","368383"
"WESTERN CAPE","50-59","Male","205135","315766"
"WESTERN CAPE","60+","Female","306438","422288"
"WESTERN CAPE","60+","Male","226901","300872"
"WESTERN CAPE","Unidentified","Female","131",""
"WESTERN CAPE","Unidentified","Male","82",""
