"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","119599","20666","416942"
"EASTERN CAPE","12-17","Male","96554","14257","429096"
"FREE STATE","12-17","Female","81736","26158","161705"
"FREE STATE","12-17","Male","68667","18947","162847"
"GAUTENG","12-17","Female","193699","57898","649047"
"GAUTENG","12-17","Male","158526","45709","648920"
"KWAZULU-NATAL","12-17","Female","128017","28618","647510"
"KWAZULU-NATAL","12-17","Male","90925","20215","658202"
"LIMPOPO","12-17","Female","116631","27425","352420"
"LIMPOPO","12-17","Male","97105","20555","372427"
"MPUMALANGA","12-17","Female","59645","12056","257710"
"MPUMALANGA","12-17","Male","48401","8801","259479"
"NORTHERN CAPE","12-17","Female","12932","3572","69852"
"NORTHERN CAPE","12-17","Male","10611","2690","69047"
"NORTH WEST","12-17","Female","72209","16039","221385"
"NORTH WEST","12-17","Male","60626","11923","223092"
"WESTERN CAPE","12-17","Female","69594","23316","320269"
"WESTERN CAPE","12-17","Male","58881","19064","322848"
