"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","120561","22053","416942"
"EASTERN CAPE","12-17","Male","97179","15095","429096"
"FREE STATE","12-17","Female","82192","28103","161705"
"FREE STATE","12-17","Male","69016","20217","162847"
"GAUTENG","12-17","Female","194827","62619","649047"
"GAUTENG","12-17","Male","159543","48889","648920"
"KWAZULU-NATAL","12-17","Female","128990","30413","647510"
"KWAZULU-NATAL","12-17","Male","91458","21258","658202"
"LIMPOPO","12-17","Female","117989","29557","352420"
"LIMPOPO","12-17","Male","98272","22090","372427"
"MPUMALANGA","12-17","Female","60152","12855","257710"
"MPUMALANGA","12-17","Male","49206","9410","259479"
"NORTHERN CAPE","12-17","Female","13015","3795","69852"
"NORTHERN CAPE","12-17","Male","10643","2820","69047"
"NORTH WEST","12-17","Female","72636","16905","221385"
"NORTH WEST","12-17","Male","60976","12472","223092"
"WESTERN CAPE","12-17","Female","70001","24333","320269"
"WESTERN CAPE","12-17","Male","59224","19982","322848"
