"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","122744","24930","416942"
"EASTERN CAPE","12-17","Male","98849","17023","429096"
"FREE STATE","12-17","Female","83029","30197","161705"
"FREE STATE","12-17","Male","69782","21827","162847"
"GAUTENG","12-17","Female","195958","67381","649047"
"GAUTENG","12-17","Male","160612","52498","648920"
"KWAZULU-NATAL","12-17","Female","131478","34180","647510"
"KWAZULU-NATAL","12-17","Male","93039","23520","658202"
"LIMPOPO","12-17","Female","119139","31316","352420"
"LIMPOPO","12-17","Male","99475","23514","372427"
"MPUMALANGA","12-17","Female","61809","14322","257710"
"MPUMALANGA","12-17","Male","51327","10619","259479"
"NORTHERN CAPE","12-17","Female","13111","4118","69852"
"NORTHERN CAPE","12-17","Male","10710","3061","69047"
"NORTH WEST","12-17","Female","74299","18535","221385"
"NORTH WEST","12-17","Male","62233","13665","223092"
"WESTERN CAPE","12-17","Female","70178","25522","320269"
"WESTERN CAPE","12-17","Male","59387","21030","322848"
