"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","879673"
"eastern cape","Pfizer","1291050"
"free state","Johnson & Johnson","468357"
"free state","Pfizer","646625"
"gauteng","Johnson & Johnson","1454523"
"gauteng","Pfizer","3780279"
"kwazulu-natal","Johnson & Johnson","1175144"
"kwazulu-natal","Pfizer","1884746"
"limpopo","Johnson & Johnson","1038857"
"limpopo","Pfizer","1003702"
"mpumalanga","Johnson & Johnson","768638"
"mpumalanga","Pfizer","542560"
"northern cape","Johnson & Johnson","206877"
"northern cape","Pfizer","215532"
"north west","Johnson & Johnson","687179"
"north west","Pfizer","598229"
"western cape","Johnson & Johnson","723474"
"western cape","Pfizer","2074034"
