"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","881950"
"eastern cape","Pfizer","1293299"
"free state","Johnson & Johnson","469508"
"free state","Pfizer","647922"
"gauteng","Johnson & Johnson","1460214"
"gauteng","Pfizer","3787225"
"kwazulu-natal","Johnson & Johnson","1179035"
"kwazulu-natal","Pfizer","1889565"
"limpopo","Johnson & Johnson","1041239"
"limpopo","Pfizer","1005386"
"mpumalanga","Johnson & Johnson","772372"
"mpumalanga","Pfizer","544219"
"northern cape","Johnson & Johnson","207378"
"northern cape","Pfizer","216036"
"north west","Johnson & Johnson","688997"
"north west","Pfizer","599585"
"western cape","Johnson & Johnson","725048"
"western cape","Pfizer","2076729"
