"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","119899","21139","416942"
"EASTERN CAPE","12-17","Male","96728","14545","429096"
"FREE STATE","12-17","Female","81856","26817","161705"
"FREE STATE","12-17","Male","68800","19410","162847"
"GAUTENG","12-17","Female","194132","59470","649047"
"GAUTENG","12-17","Male","158872","46788","648920"
"KWAZULU-NATAL","12-17","Female","128357","29245","647510"
"KWAZULU-NATAL","12-17","Male","91111","20576","658202"
"LIMPOPO","12-17","Female","117135","28082","352420"
"LIMPOPO","12-17","Male","97525","21053","372427"
"MPUMALANGA","12-17","Female","59838","12320","257710"
"MPUMALANGA","12-17","Male","48699","9001","259479"
"NORTHERN CAPE","12-17","Female","12957","3664","69852"
"NORTHERN CAPE","12-17","Male","10618","2733","69047"
"NORTH WEST","12-17","Female","72340","16330","221385"
"NORTH WEST","12-17","Male","60739","12097","223092"
"WESTERN CAPE","12-17","Female","69695","23599","320269"
"WESTERN CAPE","12-17","Male","58947","19321","322848"
