"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","121176","23066","416942"
"EASTERN CAPE","12-17","Male","97575","15724","429096"
"FREE STATE","12-17","Female","82391","29113","161705"
"FREE STATE","12-17","Male","69216","20921","162847"
"GAUTENG","12-17","Female","195351","65613","649047"
"GAUTENG","12-17","Male","160066","51185","648920"
"KWAZULU-NATAL","12-17","Female","129501","31715","647510"
"KWAZULU-NATAL","12-17","Male","91760","22111","658202"
"LIMPOPO","12-17","Female","118609","30734","352420"
"LIMPOPO","12-17","Male","98828","22990","372427"
"MPUMALANGA","12-17","Female","60450","13367","257710"
"MPUMALANGA","12-17","Male","49905","9881","259479"
"NORTHERN CAPE","12-17","Female","13034","3918","69852"
"NORTHERN CAPE","12-17","Male","10652","2901","69047"
"NORTH WEST","12-17","Female","72843","17382","221385"
"NORTH WEST","12-17","Male","61147","12785","223092"
"WESTERN CAPE","12-17","Female","70142","25109","320269"
"WESTERN CAPE","12-17","Male","59363","20716","322848"
