"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","874217"
"eastern cape","Pfizer","1286068"
"free state","Johnson & Johnson","465167"
"free state","Pfizer","643535"
"gauteng","Johnson & Johnson","1440405"
"gauteng","Pfizer","3762625"
"kwazulu-natal","Johnson & Johnson","1165911"
"kwazulu-natal","Pfizer","1874164"
"limpopo","Johnson & Johnson","1033609"
"limpopo","Pfizer","999812"
"mpumalanga","Johnson & Johnson","761868"
"mpumalanga","Pfizer","539243"
"northern cape","Johnson & Johnson","206158"
"northern cape","Pfizer","214706"
"north west","Johnson & Johnson","682823"
"north west","Pfizer","595301"
"western cape","Johnson & Johnson","720007"
"western cape","Pfizer","2067766"
