"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","119299","20143","416942"
"EASTERN CAPE","12-17","Male","96315","13932","429096"
"FREE STATE","12-17","Female","81660","25486","161705"
"FREE STATE","12-17","Male","68600","18491","162847"
"GAUTENG","12-17","Female","193377","55935","649047"
"GAUTENG","12-17","Male","158195","44339","648920"
"KWAZULU-NATAL","12-17","Female","127005","27801","647510"
"KWAZULU-NATAL","12-17","Male","90003","19697","658202"
"LIMPOPO","12-17","Female","116365","26684","352420"
"LIMPOPO","12-17","Male","96838","19999","372427"
"MPUMALANGA","12-17","Female","59499","11707","257710"
"MPUMALANGA","12-17","Male","48148","8523","259479"
"NORTHERN CAPE","12-17","Female","12937","3509","69852"
"NORTHERN CAPE","12-17","Male","10601","2647","69047"
"NORTH WEST","12-17","Female","72064","15675","221385"
"NORTH WEST","12-17","Male","60529","11635","223092"
"WESTERN CAPE","12-17","Female","69552","22877","320269"
"WESTERN CAPE","12-17","Male","58803","18694","322848"
