"province","age_group","sex","total_number_individuals_vaccinated","population"
"EASTERN CAPE","18-34","Female","387581","839479"
"EASTERN CAPE","18-34","Male","290861","854468"
"EASTERN CAPE","35-49","Female","367910","586430"
"EASTERN CAPE","35-49","Male","249379","522727"
"EASTERN CAPE","50-59","Female","235256","320585"
"EASTERN CAPE","50-59","Male","147926","196960"
"EASTERN CAPE","60+","Female","359912","517296"
"EASTERN CAPE","60+","Male","216285","261598"
"EASTERN CAPE","Unidentified","Female","309",""
"EASTERN CAPE","Unidentified","Male","87",""
"FREE STATE","18-34","Female","229176","410210"
"FREE STATE","18-34","Male","174461","419145"
"FREE STATE","35-49","Female","192869","283918"
"FREE STATE","35-49","Male","158761","266941"
"FREE STATE","50-59","Female","104549","140470"
"FREE STATE","50-59","Male","81282","105617"
"FREE STATE","60+","Female","135071","178195"
"FREE STATE","60+","Male","84905","110025"
"FREE STATE","Unidentified","Female","90",""
"FREE STATE","Unidentified","Male","54",""
"GAUTENG","18-34","Female","983510","2584852"
"GAUTENG","18-34","Male","839023","2611302"
"GAUTENG","35-49","Female","990937","1659380"
"GAUTENG","35-49","Male","926451","1782603"
"GAUTENG","50-59","Female","437379","675158"
"GAUTENG","50-59","Male","417366","655342"
"GAUTENG","60+","Female","486423","745260"
"GAUTENG","60+","Male","371761","597429"
"GAUTENG","Unidentified","Female","305",""
"GAUTENG","Unidentified","Male","183",""
"KWAZULU-NATAL","18-34","Female","628747","1707989"
"KWAZULU-NATAL","18-34","Male","431916","1725158"
"KWAZULU-NATAL","35-49","Female","568107","1071255"
"KWAZULU-NATAL","35-49","Male","408655","951364"
"KWAZULU-NATAL","50-59","Female","298965","492136"
"KWAZULU-NATAL","50-59","Male","200796","316845"
"KWAZULU-NATAL","60+","Female","438478","624115"
"KWAZULU-NATAL","60+","Male","248744","330933"
"KWAZULU-NATAL","Unidentified","Female","372",""
"KWAZULU-NATAL","Unidentified","Male","141",""
"LIMPOPO","18-34","Female","424845","818804"
"LIMPOPO","18-34","Male","287444","833104"
"LIMPOPO","35-49","Female","372363","573264"
"LIMPOPO","35-49","Male","246058","493423"
"LIMPOPO","50-59","Female","197901","265501"
"LIMPOPO","50-59","Male","132700","165831"
"LIMPOPO","60+","Female","291457","372555"
"LIMPOPO","60+","Male","167962","173319"
"LIMPOPO","Unidentified","Female","611",""
"LIMPOPO","Unidentified","Male","90",""
"MPUMALANGA","18-34","Female","271354","681710"
"MPUMALANGA","18-34","Male","230528","729028"
"MPUMALANGA","35-49","Female","237373","451254"
"MPUMALANGA","35-49","Male","208851","457785"
"MPUMALANGA","50-59","Female","116367","197794"
"MPUMALANGA","50-59","Male","94470","151183"
"MPUMALANGA","60+","Female","141186","224305"
"MPUMALANGA","60+","Male","101819","146461"
"MPUMALANGA","Unidentified","Female","156",""
"MPUMALANGA","Unidentified","Male","58",""
"NORTHERN CAPE","18-34","Female","77667","174695"
"NORTHERN CAPE","18-34","Male","73595","182300"
"NORTHERN CAPE","35-49","Female","68932","118328"
"NORTHERN CAPE","35-49","Male","72611","131923"
"NORTHERN CAPE","50-59","Female","37012","57823"
"NORTHERN CAPE","50-59","Male","34326","49198"
"NORTHERN CAPE","60+","Female","44943","80820"
"NORTHERN CAPE","60+","Male","33401","52458"
"NORTHERN CAPE","Unidentified","Female","18",""
"NORTHERN CAPE","Unidentified","Male","7",""
"NORTH WEST","18-34","Female","241982","547199"
"NORTH WEST","18-34","Male","199864","611287"
"NORTH WEST","35-49","Female","214743","386831"
"NORTH WEST","35-49","Male","214733","437698"
"NORTH WEST","50-59","Female","108715","173790"
"NORTH WEST","50-59","Male","107921","168889"
"NORTH WEST","60+","Female","141271","213393"
"NORTH WEST","60+","Male","106500","154160"
"NORTH WEST","Unidentified","Female","126",""
"NORTH WEST","Unidentified","Male","113",""
"WESTERN CAPE","18-34","Female","522211","1010156"
"WESTERN CAPE","18-34","Male","453532","1047625"
"WESTERN CAPE","35-49","Female","474458","744325"
"WESTERN CAPE","35-49","Male","417117","767488"
"WESTERN CAPE","50-59","Female","242980","368383"
"WESTERN CAPE","50-59","Male","210369","315766"
"WESTERN CAPE","60+","Female","315382","422288"
"WESTERN CAPE","60+","Male","234209","300872"
"WESTERN CAPE","Unidentified","Female","117",""
"WESTERN CAPE","Unidentified","Male","73",""
