"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","155409","58930","416942"
"EASTERN CAPE","12-17","Male","127828","42038","429096"
"FREE STATE","12-17","Female","92866","45102","161705"
"FREE STATE","12-17","Male","79103","33938","162847"
"GAUTENG","12-17","Female","216068","96075","649047"
"GAUTENG","12-17","Male","177669","74304","648920"
"KWAZULU-NATAL","12-17","Female","173987","77495","647510"
"KWAZULU-NATAL","12-17","Male","122384","49515","658202"
"LIMPOPO","12-17","Female","154157","53927","352420"
"LIMPOPO","12-17","Male","132453","40030","372427"
"MPUMALANGA","12-17","Female","80214","28096","257710"
"MPUMALANGA","12-17","Male","66541","19802","259479"
"NORTHERN CAPE","12-17","Female","19970","7874","69852"
"NORTHERN CAPE","12-17","Male","15960","5803","69047"
"NORTH WEST","12-17","Female","83877","30438","221385"
"NORTH WEST","12-17","Male","69924","22365","223092"
"WESTERN CAPE","12-17","Female","70642","28705","320269"
"WESTERN CAPE","12-17","Male","60514","24107","322848"
