"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","916930"
"eastern cape","Pfizer","1338576"
"free state","Johnson & Johnson","486998"
"free state","Pfizer","674220"
"gauteng","Johnson & Johnson","1544288"
"gauteng","Pfizer","3909050"
"kwazulu-natal","Johnson & Johnson","1243378"
"kwazulu-natal","Pfizer","1981543"
"limpopo","Johnson & Johnson","1078895"
"limpopo","Pfizer","1042536"
"mpumalanga","Johnson & Johnson","828358"
"mpumalanga","Pfizer","573804"
"northern cape","Johnson & Johnson","215919"
"northern cape","Pfizer","226593"
"north west","Johnson & Johnson","713372"
"north west","Pfizer","622596"
"western cape","Johnson & Johnson","750355"
"western cape","Pfizer","2120093"
