"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","926026"
"eastern cape","Pfizer","1372030"
"free state","Johnson & Johnson","489667"
"free state","Pfizer","687949"
"gauteng","Johnson & Johnson","1576770"
"gauteng","Pfizer","3961473"
"kwazulu-natal","Johnson & Johnson","1260800"
"kwazulu-natal","Pfizer","2017942"
"limpopo","Johnson & Johnson","1092171"
"limpopo","Pfizer","1067047"
"mpumalanga","Johnson & Johnson","840838"
"mpumalanga","Pfizer","588981"
"northern cape","Johnson & Johnson","218429"
"northern cape","Pfizer","230964"
"north west","Johnson & Johnson","720076"
"north west","Pfizer","634573"
"western cape","Johnson & Johnson","759650"
"western cape","Pfizer","2140375"
