"province","district","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","AMATHOLE DM","12-17","Female","14635","5624","54013"
"EASTERN CAPE","AMATHOLE DM","12-17","Male","12535","4595","59147"
"EASTERN CAPE","BUFFALO CITY MM","12-17","Female","19226","10664","40374"
"EASTERN CAPE","BUFFALO CITY MM","12-17","Male","15329","7602","41449"
"EASTERN CAPE","JOE GQABI DM","12-17","Female","8435","3065","21796"
"EASTERN CAPE","JOE GQABI DM","12-17","Male","7433","2398","23762"
"EASTERN CAPE","SARAH BAARTMAN DM","12-17","Female","11105","6419","25499"
"EASTERN CAPE","SARAH BAARTMAN DM","12-17","Male","9375","4802","26199"
"FREE STATE","FEZILE DABI DM","12-17","Female","13549","5343","26752"
"FREE STATE","FEZILE DABI DM","12-17","Male","11180","3914","26768"
"FREE STATE","LEJWELEPUTSWA DM","12-17","Female","17643","6685","34380"
"FREE STATE","LEJWELEPUTSWA DM","12-17","Male","14932","4798","33735"
"FREE STATE","MANGAUNG MM","12-17","Female","26165","15794","45611"
"FREE STATE","MANGAUNG MM","12-17","Male","23190","12685","47218"
"FREE STATE","XHARIEP DM","12-17","Female","4213","1188","8183"
"FREE STATE","XHARIEP DM","12-17","Male","3459","815","8133"
"GAUTENG","EKURHULENI MM","12-17","Female","51084","21698","165897"
"GAUTENG","EKURHULENI MM","12-17","Male","41891","16699","165688"
"GAUTENG","SEDIBENG DM","12-17","Female","15170","6825","43340"
"GAUTENG","SEDIBENG DM","12-17","Male","12151","5179","46239"
"GAUTENG","WEST RAND DM","12-17","Female","19446","10251","41623"
"GAUTENG","WEST RAND DM","12-17","Male","15954","7763","41409"
"KWAZULU-NATAL","AMAJUBA DM","12-17","Female","6672","2871","33168"
"KWAZULU-NATAL","AMAJUBA DM","12-17","Male","4363","1802","33581"
"KWAZULU-NATAL","ETHEKWINI MM","12-17","Female","25958","12367","172176"
"KWAZULU-NATAL","ETHEKWINI MM","12-17","Male","22545","10512","180552"
"KWAZULU-NATAL","HARRY GWALA DM","12-17","Female","13212","7871","34875"
"KWAZULU-NATAL","HARRY GWALA DM","12-17","Male","10416","5729","34556"
"KWAZULU-NATAL","ILEMBE DM","12-17","Female","8769","4424","38682"
