"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","926532"
"eastern cape","Pfizer","1374213"
"free state","Johnson & Johnson","489784"
"free state","Pfizer","688570"
"gauteng","Johnson & Johnson","1578569"
"gauteng","Pfizer","3964110"
"kwazulu-natal","Johnson & Johnson","1261489"
"kwazulu-natal","Pfizer","2019453"
"limpopo","Johnson & Johnson","1092752"
"limpopo","Pfizer","1068383"
"mpumalanga","Johnson & Johnson","841366"
"mpumalanga","Pfizer","589606"
"northern cape","Johnson & Johnson","218525"
"northern cape","Pfizer","231182"
"north west","Johnson & Johnson","720425"
"north west","Pfizer","635324"
"western cape","Johnson & Johnson","760175"
"western cape","Pfizer","2141469"
