"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","160931","67351","416942"
"EASTERN CAPE","12-17","Male","133566","49748","429096"
"FREE STATE","12-17","Female","91925","45553","161705"
"FREE STATE","12-17","Male","78551","34487","162847"
"GAUTENG","12-17","Female","212340","95728","649047"
"GAUTENG","12-17","Male","174927","74347","648920"
"KWAZULU-NATAL","12-17","Female","172776","81608","647510"
"KWAZULU-NATAL","12-17","Male","121718","52137","658202"
"LIMPOPO","12-17","Female","156303","57165","352420"
"LIMPOPO","12-17","Male","133981","42569","372427"
"MPUMALANGA","12-17","Female","81316","31366","257710"
"MPUMALANGA","12-17","Male","67082","21915","259479"
"NORTHERN CAPE","12-17","Female","20322","8591","69852"
"NORTHERN CAPE","12-17","Male","16248","6359","69047"
"NORTH WEST","12-17","Female","82202","30185","221385"
"NORTH WEST","12-17","Male","68711","22441","223092"
"WESTERN CAPE","12-17","Female","71100","29490","320269"
"WESTERN CAPE","12-17","Male","61168","24814","322848"
