"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","920741"
"eastern cape","Pfizer","1353278"
"free state","Johnson & Johnson","488531"
"free state","Pfizer","681246"
"gauteng","Johnson & Johnson","1557877"
"gauteng","Pfizer","3934955"
"kwazulu-natal","Johnson & Johnson","1251980"
"kwazulu-natal","Pfizer","2000884"
"limpopo","Johnson & Johnson","1084340"
"limpopo","Pfizer","1053482"
"mpumalanga","Johnson & Johnson","834458"
"mpumalanga","Pfizer","581096"
"northern cape","Johnson & Johnson","216722"
"northern cape","Pfizer","228504"
"north west","Johnson & Johnson","715911"
"north west","Pfizer","627742"
"western cape","Johnson & Johnson","754632"
"western cape","Pfizer","2130167"
