"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","159136","64954","416942"
"EASTERN CAPE","12-17","Male","131524","47367","429096"
"FREE STATE","12-17","Female","92444","45534","161705"
"FREE STATE","12-17","Male","78909","34336","162847"
"GAUTENG","12-17","Female","213913","96147","649047"
"GAUTENG","12-17","Male","176035","74527","648920"
"KWAZULU-NATAL","12-17","Female","174088","81406","647510"
"KWAZULU-NATAL","12-17","Male","122546","51820","658202"
"LIMPOPO","12-17","Female","156403","56255","352420"
"LIMPOPO","12-17","Male","134015","41725","372427"
"MPUMALANGA","12-17","Female","81131","30089","257710"
"MPUMALANGA","12-17","Male","67012","21096","259479"
"NORTHERN CAPE","12-17","Female","20192","8332","69852"
"NORTHERN CAPE","12-17","Male","16163","6171","69047"
"NORTH WEST","12-17","Female","82916","30349","221385"
"NORTH WEST","12-17","Male","69196","22459","223092"
"WESTERN CAPE","12-17","Female","71357","29283","320269"
"WESTERN CAPE","12-17","Male","61317","24646","322848"
